preference_id,user_id,preferred_categories,preferred_colors,preferred_fabrics,preferred_brands,preferred_styles,skin_tone,body_type,price_sensitivity,updated_ts
18,18,"HOODIES & JACKETS, TRACK PANTS, POLOS","White, Mustard, Pastel Blue","Wool, Rayon",Brand_13,"Preppy, Cottagecore, Streetwear",Medium Skin,Curvy Friendly,High,2026-01-28 14:56:19
19,19,"CARDIGANS, TRACK PANTS, KIMONO","Maroon, White, Navy","Fleece, Wool",Brand_15,"Hipster, Office Wear, Beach Wear",Medium Skin,Tall Friendly,Medium,2026-01-28 14:56:19
20,20,"T-SHIRTS, COATS, BLAZERS","Striped, Grey, Pink","Silk, Leather",Brand_2,"Athleisure, Y2K, Formal",Neutral Skin,Skinny Friendly,High,2026-01-28 14:56:19
21,21,"TRACK PANTS, POLOS, COATS","Beige, Blue, Striped","Bamboo, Cotton",Brand_8,"Cottagecore, Casual, Beach Wear",Dark Skin,Curvy Friendly,Medium,2026-01-28 14:56:19
22,22,"UTILITY PANTS, TRACK PANTS, TANKS","Black, Navy, Crimson","Corduroy, Cotton",Brand_1,"Luxury, Y2K, Beach Wear",Neutral Skin,Curvy Friendly,High,2026-01-28 14:56:19
23,23,"CHINOS, DENIM JACKETS, BLAZERS","Pastel Green, Chocolate, White","Wool, Silk",Brand_6,"Casual, Vintage, Formal",Fair Skin,Curvy Friendly,Medium,2026-01-28 14:56:19
24,24,"SHORTS, HOODIES & JACKETS, DENIM JACKETS","Mint, Chocolate, Tie-dye","Denim, Polyester",Brand_14,"Minimalist, Athleisure, Preppy",Neutral Skin,Petite Friendly,Medium,2026-01-28 14:56:19
25,25,"BLAZERS, TANKS, HOODIES & JACKETS","Navy, Plaid, Mustard","Linen, Bamboo",Brand_8,"Luxury, Casual, Preppy",Dark Skin,Curvy Friendly,Low,2026-01-28 14:56:19
26,26,"HOODIES & JACKETS, POLOS, SHORTS","Camouflage, Plaid, Tie-dye","Wool, Leather",Brand_3,"Vintage, Casual, Minimalist",Neutral Skin,Curvy Friendly,High,2026-01-28 14:56:19
28,28,"OVERSIZE TEE, SHORTS, HOODIES & JACKETS","Mint, Red, Camouflage","Velvet, Wool",Brand_5,"Vintage, Preppy, Formal",Neutral Skin,Curvy Friendly,Low,2026-01-28 14:56:19
29,29,"OVERSIZE TEE, T-SHIRTS, KIMONO","Red, White, Plaid","Leather, Wool",Brand_9,"Party Wear, Beach Wear, Preppy",Medium Skin,Skinny Friendly,High,2026-01-28 14:56:19
30,30,"POLOS, COATS, KIMONO","Blush, Striped, Tie-dye","Leather, Cotton",Brand_5,"Party Wear, Hipster, Beach Wear",Medium Skin,Petite Friendly,Low,2026-01-28 14:56:19
31,31,"OVERSIZE TEE, HOODIES & JACKETS, JOGGERS & PANTS","Beige, Striped, Green","Fleece, Denim",Brand_2,"Streetwear, Eco-friendly, Minimalist",Neutral Skin,Petite Friendly,Medium,2026-01-28 14:56:19
32,32,"KIMONO, CHINOS, COATS","Chocolate, Beige, Pastel Green","Polyester, Linen",Brand_2,"Luxury, Eco-friendly, Hipster",Dark Skin,Petite Friendly,Low,2026-01-28 14:56:19
33,33,"DENIM JACKETS, CHINOS, BEACH WEAR","Peach, Multi-color, Checked","Polyester, Velvet",Brand_7,"Preppy, Streetwear, Office Wear",Fair Skin,Petite Friendly,Low,2026-01-28 14:56:19
34,34,"TRACK PANTS, T-SHIRTS, TANKS","Multi-color, Camouflage, Tie-dye","Fleece, Corduroy",Brand_13,"Casual, Y2K, Streetwear",Dark Skin,Petite Friendly,High,2026-01-28 14:56:19
35,35,"POLOS, TANKS, TRACK PANTS","Crimson, Blush, White","Wool, Linen",Brand_19,"Minimalist, Beach Wear, Athleisure",Dark Skin,Petite Friendly,Low,2026-01-28 14:56:19
36,36,"T-SHIRTS, UTILITY PANTS, POLOS","Blush, Plaid, Beige","Cotton, Bamboo",Brand_15,"Casual, Cottagecore, Vintage",Medium Skin,Tall Friendly,Medium,2026-01-28 14:56:19
37,37,"COATS, TRACK PANTS, KIMONO","Nude, Pastel Green, Chocolate","Corduroy, Silk",Brand_17,"Y2K, Streetwear, Preppy",Neutral Skin,Curvy Friendly,High,2026-01-28 14:56:19
38,38,"TANKS, UTILITY PANTS, TRACK PANTS","Brown, Red, Blue","Modal, Linen",Brand_18,"Minimalist, Cottagecore, Luxury",Dark Skin,Petite Friendly,High,2026-01-28 14:56:19
39,39,"TANKS, T-SHIRTS, CARDIGANS","Olive, Red, Beige","Polyester, Leather",Brand_9,"Athleisure, Streetwear, Beach Wear",Dark Skin,Petite Friendly,Medium,2026-01-28 14:56:19
40,40,"UTILITY PANTS, POLOS, TANKS","Black, Charcoal, Teal","Corduroy, Fleece",Brand_6,"Vintage, Hipster, Luxury",Medium Skin,Petite Friendly,Low,2026-01-28 14:56:19
41,41,"SWEATSHIRTS, COATS, CHINOS","Pastel Blue, Red, Nude","Polyester, Denim",Brand_15,"Y2K, Casual, Beach Wear",Neutral Skin,Skinny Friendly,Low,2026-01-28 14:56:19
42,42,"BEACH WEAR, T-SHIRTS, CARDIGANS","Pastel Blue, Sky Blue, Peach","Cotton, Modal",Brand_13,"Y2K, Hipster, Cottagecore",Medium Skin,Petite Friendly,Medium,2026-01-28 14:56:19
43,43,"JOGGERS & PANTS, TRACK PANTS, BEACH WEAR","Yellow, Grey, Green","Linen, Velvet",Brand_13,"Luxury, Minimalist, Office Wear",Neutral Skin,Tall Friendly,High,2026-01-28 14:56:19
44,44,"T-SHIRTS, KIMONO, SWEATSHIRTS","Polka Dot, Orange, Pastel Blue","Modal, Leather",Brand_5,"Preppy, Streetwear, Minimalist",Medium Skin,Tall Friendly,High,2026-01-28 14:56:19
45,45,"POLOS, BLAZERS, JOGGERS & PANTS","Black, Striped, Red","Leather, Tencel",Brand_4,"Formal, Streetwear, Beach Wear",Dark Skin,Petite Friendly,Low,2026-01-28 14:56:19
46,46,"BEACH WEAR, BLAZERS, COATS","Plaid, White, Pastel Pink","Modal, Leather",Brand_18,"Casual, Y2K, Beach Wear",Fair Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
47,47,"CHINOS, OVERSIZE TEE, SWEATSHIRTS","White, Peach, Multi-color","Corduroy, Bamboo",Brand_13,"Office Wear, Luxury, Hipster",Neutral Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
48,48,"SHORTS, DENIM JACKETS, POLOS","Black, Brown, Crimson","Tencel, Linen",Brand_9,"Luxury, Casual, Preppy",Dark Skin,Curvy Friendly,High,2026-01-28 14:56:19
49,49,"BEACH WEAR, KIMONO, DENIM JACKETS","Blush, Pastel Blue, Tan","Denim, Velvet",Brand_14,"Casual, Streetwear, Preppy",Medium Skin,Curvy Friendly,High,2026-01-28 14:56:19
50,50,"CARDIGANS, OVERSIZE TEE, COATS","Charcoal, Olive, Plaid","Corduroy, Tencel",Brand_2,"Hipster, Formal, Cottagecore",Fair Skin,Skinny Friendly,Low,2026-01-28 14:56:19
51,51,"COATS, OVERSIZE TEE, CARDIGANS","Pink, Olive, Nude","Jacquard, Velvet",Brand_10,"Minimalist, Streetwear, Luxury",Medium Skin,Tall Friendly,High,2026-01-28 14:56:19
52,52,"TRACK PANTS, OVERSIZE TEE, UTILITY PANTS","Tie-dye, Sky Blue, Olive","Bamboo, Corduroy",Brand_17,"Luxury, Preppy, Athleisure",Medium Skin,Petite Friendly,High,2026-01-28 14:56:19
53,53,"TANKS, T-SHIRTS, SHORTS","Blush, Chocolate, Beige","Leather, Rayon",Brand_11,"Luxury, Casual, Preppy",Medium Skin,Petite Friendly,Low,2026-01-28 14:56:19
54,54,"SHORTS, UTILITY PANTS, BEACH WEAR","Maroon, Yellow, Blush","Leather, Fleece",Brand_13,"Y2K, Beach Wear, Athleisure",Neutral Skin,Petite Friendly,Low,2026-01-28 14:56:19
55,55,"SWEATSHIRTS, COATS, SHORTS","Green, Navy, Mustard","Rayon, Wool",Brand_17,"Eco-friendly, Minimalist, Athleisure",Neutral Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
56,56,"CARDIGANS, TANKS, KIMONO","Black, Brown, Crimson","Corduroy, Fleece",Brand_4,"Streetwear, Minimalist, Cottagecore",Dark Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
57,57,"COATS, BLAZERS, SHORTS","Orange, Maroon, Crimson","Velvet, Modal",Brand_14,"Luxury, Vintage, Cottagecore",Medium Skin,Curvy Friendly,High,2026-01-28 14:56:19
58,58,"TRACK PANTS, OVERSIZE TEE, UTILITY PANTS","Pastel Pink, Brown, Striped","Jacquard, Bamboo",Brand_19,"Party Wear, Preppy, Athleisure",Dark Skin,Petite Friendly,High,2026-01-28 14:56:19
59,59,"DENIM JACKETS, T-SHIRTS, BLAZERS","Nude, Grey, Pastel Green","Cotton, Jacquard",Brand_1,"Eco-friendly, Casual, Beach Wear",Neutral Skin,Petite Friendly,High,2026-01-28 14:56:19
60,60,"DENIM JACKETS, POLOS, TANKS","Striped, Blush, Mustard","Leather, Modal",Brand_17,"Formal, Streetwear, Vintage",Medium Skin,Petite Friendly,Medium,2026-03-08 21:50:44
61,61,"POLOS, SHORTS, CHINOS","Pastel Green, Blue, Grey","Leather, Fleece",Brand_13,"Minimalist, Luxury, Formal",Fair Skin,Curvy Friendly,Low,2026-01-28 14:56:19
62,62,"DENIM JACKETS, T-SHIRTS, BEACH WEAR","White, Pastel Pink, Checked","Tencel, Silk",Brand_5,"Party Wear, Casual, Hipster",Medium Skin,Tall Friendly,Low,2026-01-28 14:56:19
63,63,"SHORTS, JOGGERS & PANTS, CHINOS","Mustard, Blue, Striped","Wool, Polyester",Brand_15,"Vintage, Office Wear, Preppy",Dark Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
64,64,"BEACH WEAR, UTILITY PANTS, SHORTS","Pastel Pink, Navy, Camouflage","Linen, Cotton",Brand_4,"Vintage, Athleisure, Office Wear",Neutral Skin,Petite Friendly,High,2026-01-28 14:56:19
65,65,"HOODIES & JACKETS, OVERSIZE TEE, BLAZERS","Pastel Pink, Peach, Grey","Corduroy, Rayon",Brand_10,"Minimalist, Casual, Luxury",Medium Skin,Petite Friendly,Low,2026-01-28 14:56:19
66,66,"UTILITY PANTS, POLOS, KIMONO","Coral, Olive, Off-white","Rayon, Linen",Brand_13,"Luxury, Cottagecore, Streetwear",Neutral Skin,Tall Friendly,Medium,2026-01-28 14:56:19
67,67,"POLOS, JOGGERS & PANTS, DENIM JACKETS","Checked, Navy, Multi-color","Corduroy, Tencel",Brand_1,"Luxury, Vintage, Streetwear",Dark Skin,Petite Friendly,High,2026-01-28 14:56:19
68,68,"COATS, KIMONO, BEACH WEAR","Green, Peach, Coral","Silk, Tencel",Brand_18,"Beach Wear, Luxury, Cottagecore",Fair Skin,Tall Friendly,Medium,2026-01-28 14:56:19
69,69,"BLAZERS, BEACH WEAR, TANKS","Mustard, Crimson, Yellow","Modal, Jacquard",Brand_12,"Athleisure, Hipster, Office Wear",Dark Skin,Petite Friendly,Medium,2026-01-28 14:56:19
70,70,"JOGGERS & PANTS, T-SHIRTS, SWEATSHIRTS","Checked, Yellow, Coral","Linen, Polyester",Brand_14,"Casual, Cottagecore, Eco-friendly",Medium Skin,Petite Friendly,Medium,2026-03-08 21:50:44
74,74,"TRACK PANTS, SWEATSHIRTS, BEACH WEAR","Navy, Brown, Tan","Polyester, Bamboo",Brand_14,"Athleisure, Party Wear, Streetwear",Medium Skin,Petite Friendly,High,2026-01-28 14:56:19
75,75,"CHINOS, SHORTS, BLAZERS","Nude, Pastel Pink, Beige","Jacquard, Bamboo",Brand_17,"Vintage, Eco-friendly, Beach Wear",Medium Skin,Tall Friendly,Medium,2026-01-28 14:56:19
76,76,"UTILITY PANTS, SHORTS, POLOS","Camouflage, Charcoal, White","Jacquard, Fleece",Brand_2,"Casual, Luxury, Party Wear",Medium Skin,Tall Friendly,High,2026-01-28 14:56:19
77,77,"TRACK PANTS, T-SHIRTS, POLOS","Pastel Pink, Chocolate, Tie-dye","Tencel, Polyester",Brand_11,"Cottagecore, Athleisure, Party Wear",Dark Skin,Skinny Friendly,High,2026-01-28 14:56:19
78,78,"HOODIES & JACKETS, BLAZERS, SHORTS","Striped, Teal, Olive","Corduroy, Jacquard",Brand_13,"Vintage, Hipster, Streetwear",Dark Skin,Curvy Friendly,High,2026-01-28 14:56:19
79,79,"TANKS, CARDIGANS, BLAZERS","Green, Yellow, White","Silk, Corduroy",Brand_1,"Beach Wear, Casual, Eco-friendly",Dark Skin,Petite Friendly,Medium,2026-01-28 14:56:19
80,80,"OVERSIZE TEE, T-SHIRTS, TANKS","Pastel Green, Pastel Blue, Black","Velvet, Polyester",Brand_16,"Vintage, Hipster, Cottagecore",Fair Skin,Skinny Friendly,Low,2026-01-28 14:56:19
81,81,"SWEATSHIRTS, POLOS, JOGGERS & PANTS","Multi-color, Navy, Tie-dye","Wool, Polyester",Brand_3,"Athleisure, Cottagecore, Formal",Medium Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
82,82,"CARDIGANS, TRACK PANTS, TANKS","Peach, Off-white, Striped","Wool, Jacquard",Brand_7,"Athleisure, Casual, Hipster",Dark Skin,Petite Friendly,High,2026-01-28 14:56:19
83,83,"SHORTS, TRACK PANTS, TANKS","Nude, White, Black","Velvet, Denim",Brand_18,"Preppy, Y2K, Eco-friendly",Neutral Skin,Curvy Friendly,Medium,2026-01-28 14:56:19
84,84,"SHORTS, BLAZERS, SWEATSHIRTS","Polka Dot, Tie-dye, Teal","Polyester, Cotton",Brand_10,"Beach Wear, Preppy, Casual",Dark Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
85,85,"SHORTS, COATS, T-SHIRTS","Tan, Teal, Charcoal","Denim, Bamboo",Brand_3,"Athleisure, Streetwear, Party Wear",Medium Skin,Tall Friendly,Medium,2026-01-28 14:56:19
86,86,"BLAZERS, SHORTS, DENIM JACKETS","Beige, Grey, Maroon","Denim, Bamboo",Brand_10,"Beach Wear, Preppy, Hipster",Fair Skin,Curvy Friendly,Low,2026-01-28 14:56:19
87,87,"JOGGERS & PANTS, UTILITY PANTS, SHORTS","Brown, Checked, Green","Fleece, Silk",Brand_13,"Preppy, Party Wear, Cottagecore",Medium Skin,Skinny Friendly,Low,2026-01-28 14:56:19
88,88,"OVERSIZE TEE, COATS, T-SHIRTS","Crimson, Tan, Charcoal","Tencel, Rayon",Brand_9,"Hipster, Luxury, Minimalist",Neutral Skin,Skinny Friendly,High,2026-01-28 14:56:19
89,89,"T-SHIRTS, BLAZERS, SHORTS","Orange, Navy, Charcoal","Tencel, Denim",Brand_10,"Streetwear, Hipster, Minimalist",Neutral Skin,Petite Friendly,Medium,2026-01-28 14:56:19
91,91,"T-SHIRTS, POLOS, TANKS","Yellow, Chocolate, Brown","Denim, Linen",Brand_11,"Cottagecore, Vintage, Preppy",Medium Skin,Tall Friendly,High,2026-01-28 14:56:19
93,93,"CARDIGANS, HOODIES & JACKETS, TANKS","Polka Dot, Pastel Pink, Red","Corduroy, Polyester",Brand_11,"Hipster, Streetwear, Party Wear",Medium Skin,Petite Friendly,High,2026-01-28 14:56:19
94,94,"SHORTS, KIMONO, SWEATSHIRTS","Tie-dye, Orange, Maroon","Fleece, Cotton",Brand_7,"Athleisure, Cottagecore, Formal",Medium Skin,Curvy Friendly,High,2026-01-28 14:56:19
95,95,"SWEATSHIRTS, CHINOS, BEACH WEAR","Pink, Peach, Camouflage","Linen, Modal",Brand_13,"Casual, Hipster, Vintage",Medium Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
96,96,"JOGGERS & PANTS, TRACK PANTS, BLAZERS","Polka Dot, Camouflage, Green","Wool, Corduroy",Brand_13,"Eco-friendly, Beach Wear, Party Wear",Neutral Skin,Petite Friendly,High,2026-01-28 14:56:19
97,97,"CARDIGANS, SHORTS, SWEATSHIRTS","Pastel Green, Mustard, Brown","Jacquard, Bamboo",Brand_19,"Formal, Hipster, Preppy",Fair Skin,Skinny Friendly,High,2026-01-28 14:56:19
98,98,"CARDIGANS, DENIM JACKETS, BLAZERS","Maroon, Blush, Polka Dot","Corduroy, Rayon",Brand_9,"Streetwear, Casual, Luxury",Medium Skin,Petite Friendly,Medium,2026-01-28 14:56:19
99,99,"OVERSIZE TEE, POLOS, CARDIGANS","Beige, Pastel Blue, Camouflage","Denim, Cotton",Brand_7,"Beach Wear, Y2K, Hipster",Neutral Skin,Curvy Friendly,Low,2026-01-28 14:56:19
100,100,"SWEATSHIRTS, BEACH WEAR, TANKS","Black, Brown, Crimson","Bamboo, Cotton",Brand_3,"Office Wear, Eco-friendly, Luxury",Medium Skin,Petite Friendly,High,2026-01-28 14:56:19
101,101,"KIMONO, JOGGERS & PANTS, POLOS","Pastel Pink, Red, Crimson","Wool, Corduroy",Brand_3,"Streetwear, Athleisure, Office Wear",Dark Skin,Tall Friendly,Medium,2026-01-28 14:56:19
102,102,"BLAZERS, BEACH WEAR, DENIM JACKETS","Off-white, Black, Navy","Linen, Cotton",Brand_6,"Cottagecore, Vintage, Preppy",Neutral Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
103,103,"BEACH WEAR, DENIM JACKETS, CARDIGANS","Plaid, Pastel Green, Grey","Fleece, Velvet",Brand_6,"Streetwear, Minimalist, Beach Wear",Fair Skin,Tall Friendly,Medium,2026-01-28 14:56:19
104,104,"TRACK PANTS, BLAZERS, JOGGERS & PANTS","Green, Nude, Plaid","Polyester, Fleece",Brand_11,"Cottagecore, Office Wear, Y2K",Fair Skin,Skinny Friendly,Medium,2026-01-28 14:56:19
105,105,"TRACK PANTS, CARDIGANS, HOODIES & JACKETS","Polka Dot, Sky Blue, Brown","Linen, Leather",Brand_6,"Vintage, Cottagecore, Y2K",Medium Skin,Tall Friendly,High,2026-01-28 14:56:19
106,106,"SWEATSHIRTS, T-SHIRTS, BLAZERS","Brown, Maroon, Teal","Rayon, Cotton",Brand_16,"Office Wear, Preppy, Vintage",Dark Skin,Tall Friendly,High,2026-01-28 14:56:19
107,107,"BEACH WEAR, CHINOS, BLAZERS","Tie-dye, Mint, White","Bamboo, Silk",Brand_13,"Eco-friendly, Beach Wear, Office Wear",Medium Skin,Petite Friendly,High,2026-01-28 14:56:19
108,108,"OVERSIZE TEE, CHINOS, T-SHIRTS","Pink, Polka Dot, Mustard","Fleece, Denim",Brand_13,"Office Wear, Athleisure, Y2K",Fair Skin,Curvy Friendly,Low,2026-01-28 14:56:19
109,109,"CARDIGANS, BEACH WEAR, POLOS","Olive, Striped, Charcoal","Cotton, Velvet",Brand_13,"Casual, Streetwear, Hipster",Neutral Skin,Skinny Friendly,Low,2026-01-28 14:56:19
110,110,"POLOS, BLAZERS, CARDIGANS","Tie-dye, Crimson, Blue","Corduroy, Silk",Brand_14,"Vintage, Minimalist, Preppy",Fair Skin,Skinny Friendly,Low,2026-01-28 14:56:19
111,111,"TRACK PANTS, OVERSIZE TEE, UTILITY PANTS","White, Green, Striped","Rayon, Velvet",Brand_1,"Beach Wear, Luxury, Y2K",Neutral Skin,Skinny Friendly,High,2026-01-28 14:56:19
112,112,"CARDIGANS, TRACK PANTS, DENIM JACKETS","Off-white, Checked, Tan","Jacquard, Bamboo",Brand_13,"Beach Wear, Hipster, Party Wear",Fair Skin,Skinny Friendly,Low,2026-01-28 14:56:19
113,113,"TRACK PANTS, COATS, HOODIES & JACKETS","Maroon, Camouflage, White","Bamboo, Velvet",Brand_5,"Vintage, Preppy, Athleisure",Medium Skin,Curvy Friendly,High,2026-01-28 14:56:19
114,114,"HOODIES & JACKETS, POLOS, JOGGERS & PANTS","Plaid, Pastel Pink, Sky Blue","Jacquard, Corduroy",Brand_4,"Y2K, Eco-friendly, Hipster",Medium Skin,Petite Friendly,Medium,2026-01-28 14:56:19
115,115,"SHORTS, POLOS, OVERSIZE TEE","Mint, Pink, Chocolate","Cotton, Rayon",Brand_8,"Beach Wear, Party Wear, Vintage",Neutral Skin,Curvy Friendly,High,2026-01-28 14:56:19
117,117,"OVERSIZE TEE, UTILITY PANTS, JOGGERS & PANTS","Blush, Sky Blue, Red","Leather, Fleece",Brand_16,"Party Wear, Athleisure, Beach Wear",Fair Skin,Petite Friendly,High,2026-01-28 14:56:19
118,118,"DENIM JACKETS, JOGGERS & PANTS, SWEATSHIRTS","White, Black, Brown","Tencel, Wool",Brand_8,"Vintage, Casual, Cottagecore",Medium Skin,Petite Friendly,High,2026-01-28 14:56:19
119,119,"KIMONO, TRACK PANTS, UTILITY PANTS","Green, Coral, Orange","Leather, Tencel",Brand_18,"Party Wear, Formal, Minimalist",Fair Skin,Tall Friendly,High,2026-01-28 14:56:19
120,120,"SWEATSHIRTS, TANKS, KIMONO","Off-white, Navy, Peach","Denim, Bamboo",Brand_4,"Formal, Party Wear, Beach Wear",Fair Skin,Curvy Friendly,High,2026-01-28 14:56:19
121,121,"TRACK PANTS, BEACH WEAR, KIMONO","Pastel Blue, Nude, Chocolate","Cotton, Corduroy",Brand_10,"Party Wear, Formal, Athleisure",Dark Skin,Petite Friendly,High,2026-01-28 14:56:19
122,122,"UTILITY PANTS, HOODIES & JACKETS, T-SHIRTS","Nude, Mustard, Camouflage","Polyester, Velvet",Brand_13,"Formal, Cottagecore, Hipster",Medium Skin,Curvy Friendly,Medium,2026-01-28 14:56:19
123,123,"SWEATSHIRTS, HOODIES & JACKETS, BLAZERS","Red, Plaid, Teal","Polyester, Modal",Brand_5,"Athleisure, Beach Wear, Office Wear",Medium Skin,Skinny Friendly,High,2026-01-28 14:56:19
124,124,"KIMONO, HOODIES & JACKETS, DENIM JACKETS","Beige, Grey, Brown","Fleece, Rayon",Brand_17,"Office Wear, Eco-friendly, Athleisure",Fair Skin,Petite Friendly,Medium,2026-01-28 14:56:19
125,125,"TANKS, SWEATSHIRTS, COATS","Yellow, Checked, Sky Blue","Bamboo, Tencel",Brand_6,"Hipster, Eco-friendly, Streetwear",Fair Skin,Petite Friendly,Medium,2026-01-28 14:56:19
126,126,"HOODIES & JACKETS, SWEATSHIRTS, CHINOS","Crimson, Nude, Olive","Velvet, Jacquard",Brand_9,"Formal, Minimalist, Beach Wear",Dark Skin,Petite Friendly,Low,2026-01-28 14:56:19
128,128,"UTILITY PANTS, CARDIGANS, HOODIES & JACKETS","Blush, Checked, Olive","Bamboo, Tencel",Brand_7,"Cottagecore, Beach Wear, Hipster",Medium Skin,Skinny Friendly,High,2026-01-28 14:56:19
129,129,"SHORTS, T-SHIRTS, POLOS","Maroon, Mustard, Olive","Rayon, Leather",Brand_11,"Streetwear, Luxury, Party Wear",Fair Skin,Tall Friendly,High,2026-01-28 14:56:19
130,130,"SHORTS, CHINOS, COATS","Green, Orange, Camouflage","Wool, Jacquard",Brand_16,"Cottagecore, Beach Wear, Office Wear",Dark Skin,Curvy Friendly,Low,2026-01-28 14:56:19
131,131,"CHINOS, JOGGERS & PANTS, T-SHIRTS","Pastel Green, Orange, Red","Rayon, Linen",Brand_6,"Cottagecore, Formal, Eco-friendly",Medium Skin,Petite Friendly,Medium,2026-01-28 14:56:19
133,133,"UTILITY PANTS, OVERSIZE TEE, CARDIGANS","Pink, Yellow, Checked","Tencel, Linen",Brand_3,"Office Wear, Luxury, Eco-friendly",Neutral Skin,Tall Friendly,Medium,2026-01-28 14:56:19
134,134,"JOGGERS & PANTS, OVERSIZE TEE, DENIM JACKETS","Navy, Pastel Blue, Multi-color","Rayon, Velvet",Brand_19,"Cottagecore, Streetwear, Formal",Fair Skin,Tall Friendly,Medium,2026-01-28 14:56:19
135,135,###typo,"Nude, Peach, Tie-dye","Cotton, Denim",Brand_2,"Eco-friendly, Hipster, Y2K",Dark Skin,Tall Friendly,Medium,2026-01-28 14:56:19
136,136,"HOODIES & JACKETS, BLAZERS, CHINOS","Red, Coral, Beige","Modal, Tencel",Brand_15,"Athleisure, Office Wear, Casual",Medium Skin,Tall Friendly,Medium,2026-01-28 14:56:19
137,137,"JOGGERS & PANTS, TRACK PANTS, DENIM JACKETS","Blush, Multi-color, Polka Dot","Fleece, Modal",Brand_4,"Eco-friendly, Athleisure, Minimalist",Fair Skin,Skinny Friendly,High,2026-01-28 14:56:19
138,138,"JOGGERS & PANTS, DENIM JACKETS, CHINOS","Tie-dye, Pastel Pink, Multi-color","Denim, Rayon",Brand_10,"Formal, Beach Wear, Casual",Dark Skin,Tall Friendly,High,2026-01-28 14:56:19
