product_id,name,category,stock_count,stock_status,price,_curated_at,_dataset_type
57.0,neutral casual cardigans,CARDIGANS,16.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
58.0,smart bright blazers,BLAZERS,3.0,Low Stock,9500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
59.0,,OVERSIZE TEE,45.0,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
60.0,smart retro hoodies & jackets,HOODIES & JACKETS,29.0,In Stock,10500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
61.0,luxury heritage chinos,CHINOS,19.0,In Stock,5500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
62.0,urban comfy chinos,CHINOS,36.0,In Stock,7000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
63.0,preppy casual coats,COATS,19.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
64.0,,CHINOS,14.0,In Stock,6500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
65.0,soft vintage joggers & pants,JOGGERS & PANTS,24.0,In Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
66.0,layered preppy shorts,SHORTS,12.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
67.0,bold vintage track pants,TRACK PANTS,0.0,Out of Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
68.0,patterned functional kimono,KIMONO,8.0,In Stock,14000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
69.0,minimalist soft joggers & pants,NAN,49.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
70.0,heritage functional blazers,BLAZERS,19.0,In Stock,11000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
71.0,rustic structured cardigans,CARDIGANS,40.0,In Stock,14500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
,slim fit bright coats,COATS,4.0,Low Stock,10000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
73.0,functional urban cardigans,CARDIGANS,35.0,In Stock,8000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
74.0,edgy structured beach wear,BEACH WEAR,30.0,In Stock,5500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
75.0,vintage neutral kimono,NAN,46.0,In Stock,,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
76.0,retro classic coats,COATS,40.0,In Stock,12500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
77.0,casual structured polos,POLOS,34.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
78.0,rustic elegant beach wear,BEACH WEAR,49.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
79.0,soft lightweight beach wear,BEACH WEAR,10.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
80.0,bold tailored shorts,SHORTS,44.0,In Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
81.0,statement smart kimono,KIMONO,36.0,In Stock,11000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
82.0,tailored heritage chinos,CHINOS,3.0,Low Stock,,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
,classic slim fit kimono,KIMONO,17.0,In Stock,8000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
84.0,layered tailored beach wear,BEACH WEAR,28.0,In Stock,6000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
,statement vintage denim jackets,DENIM JACKETS,2.0,Low Stock,12500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
86.0,relaxed neutral track pants,TRACK PANTS,15.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
87.0,trendy smart polos,POLOS,23.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
88.0,camo sporty kimono,KIMONO,5.0,In Stock,8000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
89.0,sporty neutral hoodies & jackets,HOODIES & JACKETS,44.0,In Stock,15000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
90.0,wide leg smart utility pants,UTILITY PANTS,46.0,In Stock,15000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
91.0,camo retro chinos,CHINOS,33.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
92.0,retro lightweight tanks,TANKS,30.0,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
,textured structured beach wear,BEACH WEAR,50.0,In Stock,5500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
94.0,smart urban tanks,TANKS,24.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
95.0,modern tailored t-shirts,T-SHIRTS,26.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
96.0,bold minimalist blazers,BLAZERS,23.0,In Stock,10500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
97.0,minimalist layered joggers & pants,JOGGERS & PANTS,44.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
,textured soft oversize tee,OVERSIZE TEE,28.0,In Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
99.0,bright trendy blazers,BLAZERS,20.0,In Stock,14500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
100.0,functional minimalist kimono,KIMONO,8.0,In Stock,12500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
101.0,layered soft kimono,KIMONO,35.0,In Stock,8000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
102.0,statement elegant cardigans,CARDIGANS,29.0,In Stock,10000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
103.0,retro oversized sweatshirts,SWEATSHIRTS,9.0,In Stock,,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
104.0,structured wide leg oversize tee,OVERSIZE TEE,50.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
105.0,neutral preppy track pants,TRACK PANTS,39.0,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
106.0,preppy functional hoodies & jackets,HOODIES & JACKETS,6.0,In Stock,9000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
107.0,patterned minimalist tanks,TANKS,11.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
108.0,edgy luxury denim jackets,DENIM JACKETS,4.0,Low Stock,11000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
109.0,bold chic oversize tee,OVERSIZE TEE,11.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
110.0,bold preppy chinos,CHINOS,27.0,In Stock,6000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
111.0,essential edgy coats,COATS,10.0,In Stock,9500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
112.0,patterned essential tanks,TANKS,48.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
113.0,comfy wide leg beach wear,BEACH WEAR,28.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
114.0,camo slim fit denim jackets,DENIM JACKETS,27.0,In Stock,12500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
115.0,camo edgy sweatshirts,SWEATSHIRTS,14.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
116.0,elegant retro tanks,TANKS,16.0,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
117.0,minimalist dynamic cardigans,CARDIGANS,48.0,In Stock,11500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
118.0,soft statement utility pants,UTILITY PANTS,18.0,In Stock,12500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
119.0,minimalist essential oversize tee,OVERSIZE TEE,44.0,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
120.0,minimalist casual cardigans,CARDIGANS,38.0,In Stock,8000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
121.0,retro slim fit polos,POLOS,,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
122.0,sporty smart coats,COATS,13.0,In Stock,11500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
123.0,statement statement joggers & pants,JOGGERS & PANTS,28.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
124.0,relaxed essential shorts,SHORTS,17.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
125.0,structured wide leg coats,COATS,40.0,In Stock,9500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
126.0,chic lightweight tanks,TANKS,20.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
127.0,slim fit comfy cardigans,CARDIGANS,18.0,In Stock,14000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
128.0,bright neutral t-shirts,T-SHIRTS,25.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
129.0,smart preppy shorts,SHORTS,13.0,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
130.0,essential rustic sweatshirts,SWEATSHIRTS,10.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
131.0,trendy neutral joggers & pants,JOGGERS & PANTS,,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
132.0,slim fit classic coats,COATS,9.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
133.0,minimalist minimalist tanks,TANKS,31.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
134.0,,KIMONO,24.0,In Stock,14000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
135.0,comfy smart sweatshirts,SWEATSHIRTS,9.0,In Stock,5500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
136.0,functional functional kimono,KIMONO,36.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
137.0,layered refined utility pants,UTILITY PANTS,12.0,In Stock,14500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
138.0,patterned camo kimono,KIMONO,30.0,In Stock,10500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
139.0,bright preppy beach wear,BEACH WEAR,14.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
140.0,lightweight urban cardigans,CARDIGANS,46.0,In Stock,8000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
141.0,essential structured cardigans,CARDIGANS,6.0,In Stock,14000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
142.0,textured urban denim jackets,DENIM JACKETS,10.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
143.0,urban heritage blazers,BLAZERS,6.0,In Stock,13000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
144.0,modern wide leg cardigans,CARDIGANS,18.0,In Stock,11000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
,dynamic preppy chinos,CHINOS,28.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
146.0,classic trendy blazers,BLAZERS,41.0,In Stock,10500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
147.0,vintage slim fit cardigans,CARDIGANS,9.0,In Stock,13500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
148.0,modern neutral sweatshirts,NAN,27.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
149.0,smart elegant cardigans,CARDIGANS,38.0,In Stock,9000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
150.0,sporty edgy track pants,TRACK PANTS,6.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
151.0,wide leg smart chinos,CHINOS,28.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
152.0,layered essential coats,COATS,35.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
153.0,heritage sporty t-shirts,T-SHIRTS,23.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
154.0,,COATS,37.0,In Stock,11000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
155.0,statement dynamic t-shirts,T-SHIRTS,9.0,In Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
156.0,textured edgy track pants,TRACK PANTS,30.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
157.0,dynamic trendy t-shirts,T-SHIRTS,29.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
158.0,functional comfy polos,POLOS,8.0,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
159.0,refined structured chinos,CHINOS,47.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
160.0,vintage structured utility pants,UTILITY PANTS,18.0,In Stock,11500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
161.0,lightweight casual hoodies & jackets,HOODIES & JACKETS,6.0,In Stock,15000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
162.0,structured minimalist cardigans,CARDIGANS,49.0,In Stock,10000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
163.0,trendy preppy polos,POLOS,0.0,Out of Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
164.0,preppy refined cardigans,CARDIGANS,14.0,In Stock,10000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
165.0,bright modern denim jackets,DENIM JACKETS,39.0,In Stock,14000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
166.0,wide leg urban chinos,CHINOS,11.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
167.0,comfy dynamic beach wear,BEACH WEAR,21.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
168.0,lightweight textured kimono,KIMONO,23.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
169.0,chic urban cardigans,CARDIGANS,10.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
170.0,layered chic utility pants,UTILITY PANTS,41.0,In Stock,11500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
171.0,tailored bold coats,COATS,25.0,In Stock,10000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
172.0,relaxed modern beach wear,BEACH WEAR,6.0,In Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
173.0,classic structured hoodies & jackets,NAN,14.0,In Stock,12500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
174.0,chic essential cardigans,CARDIGANS,13.0,In Stock,14000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
175.0,retro classic cardigans,CARDIGANS,31.0,In Stock,8000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
176.0,dynamic luxury tanks,TANKS,41.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
177.0,trendy urban cardigans,CARDIGANS,47.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
178.0,relaxed layered track pants,TRACK PANTS,33.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
179.0,modern refined shorts,SHORTS,12.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
180.0,neutral refined t-shirts,T-SHIRTS,19.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
181.0,modern camo tanks,TANKS,41.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
182.0,smart chic hoodies & jackets,HOODIES & JACKETS,41.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
183.0,urban casual denim jackets,DENIM JACKETS,47.0,In Stock,11500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
184.0,preppy patterned track pants,TRACK PANTS,10.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
185.0,wide leg wide leg sweatshirts,NAN,0.0,Out of Stock,5500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
186.0,trendy refined track pants,TRACK PANTS,23.0,In Stock,3000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
187.0,chic luxury beach wear,BEACH WEAR,24.0,In Stock,6000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
188.0,smart preppy joggers & pants,JOGGERS & PANTS,49.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
189.0,relaxed vintage kimono,KIMONO,10.0,In Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
190.0,preppy bold coats,COATS,12.0,In Stock,14500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
191.0,neutral edgy chinos,CHINOS,48.0,In Stock,4000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
192.0,lightweight textured chinos,CHINOS,31.0,In Stock,,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
193.0,comfy heritage cardigans,CARDIGANS,0.0,Out of Stock,15000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
194.0,relaxed textured track pants,TRACK PANTS,6.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
195.0,lightweight bright utility pants,UTILITY PANTS,12.0,In Stock,13000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
196.0,vintage modern utility pants,UTILITY PANTS,3.0,Low Stock,14500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
197.0,neutral layered utility pants,UTILITY PANTS,30.0,In Stock,12500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
198.0,heritage bold denim jackets,DENIM JACKETS,39.0,In Stock,11000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
199.0,classic heritage kimono,KIMONO,38.0,In Stock,9000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
200.0,bright wide leg shorts,SHORTS,18.0,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
201.0,neutral comfy coats,COATS,18.0,In Stock,11500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
202.0,neutral luxury shorts,SHORTS,21.0,In Stock,3500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
,comfy chic joggers & pants,JOGGERS & PANTS,45.0,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
204.0,elegant slim fit kimono,KIMONO,,In Stock,10000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
205.0,edgy rustic denim jackets,DENIM JACKETS,8.0,In Stock,14500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
206.0,chic preppy utility pants,UTILITY PANTS,16.0,In Stock,8500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
207.0,textured vintage coats,COATS,42.0,In Stock,,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
208.0,edgy functional hoodies & jackets,HOODIES & JACKETS,2.0,Low Stock,12000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
209.0,,OVERSIZE TEE,,In Stock,2500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
210.0,comfy rustic chinos,CHINOS,25.0,In Stock,,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
211.0,urban neutral tanks,TANKS,35.0,In Stock,5000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
212.0,oversized lightweight track pants,NAN,7.0,In Stock,4500.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
213.0,soft statement coats,COATS,,In Stock,14000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
214.0,slim fit vintage beach wear,BEACH WEAR,21.0,In Stock,6000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
215.0,neutral patterned blazers,BLAZERS,33.0,In Stock,15000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
216.0,edgy heritage chinos,CHINOS,33.0,In Stock,6000.0,2026-03-10T07:38:43.072588+05:30,inventory_snapshot
