product_id,name,category,color,fabric,price,price_category,stock_status,semantic_tags,_enriched_at,_curated_at,_dataset_type
25.0,bright oversized chinos,CHINOS,Maroon,Denim,5500.0,Premium,In Stock,"chinos, maroon, denim, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
26.0,,UTILITY PANTS,Grey,Silk,10000.0,Premium,In Stock,"utility pants, grey, silk, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
27.0,functional functional oversize tee,OVERSIZE TEE,Chocolate,Polyester,4000.0,Mid-Range,In Stock,"oversize tee, chocolate, polyester, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
28.0,wide leg comfy oversize tee,OVERSIZE TEE,Olive,Tencel,4000.0,Mid-Range,In Stock,"oversize tee, olive, tencel, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
29.0,layered casual track pants,TRACK PANTS,Pastel Blue,Jacquard,5000.0,Premium,In Stock,"track pants, pastel blue, jacquard, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
30.0,functional minimalist chinos,CHINOS,Pastel Blue,Polyester,4500.0,Mid-Range,Out of Stock,"chinos, pastel blue, polyester, mid-range, out of stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
31.0,luxury heritage t-shirts,T-SHIRTS,Polka Dot,Wool,5000.0,Premium,In Stock,"t-shirts, polka dot, wool, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
32.0,structured comfy chinos,CHINOS,Pink,Velvet,4000.0,Mid-Range,In Stock,"chinos, pink, velvet, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
33.0,vintage vintage denim jackets,DENIM JACKETS,Pastel Blue,Fleece,9000.0,Premium,In Stock,"denim jackets, pastel blue, fleece, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
34.0,textured structured shorts,SHORTS,Grey,Rayon,4000.0,Mid-Range,In Stock,"shorts, grey, rayon, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
35.0,chic camo t-shirts,T-SHIRTS,Sky Blue,Jacquard,3000.0,Mid-Range,Low Stock,"t-shirts, sky blue, jacquard, mid-range, low stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
36.0,essential urban shorts,SHORTS,Navy,Cotton,3000.0,Mid-Range,In Stock,"shorts, navy, cotton, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
37.0,neutral relaxed joggers & pants,JOGGERS & PANTS,Navy,Cotton,5000.0,Premium,In Stock,"joggers & pants, navy, cotton, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
38.0,statement smart beach wear,BEACH WEAR,Maroon,Bamboo,5500.0,Premium,In Stock,"beach wear, maroon, bamboo, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
39.0,wide leg minimalist cardigans,CARDIGANS,Tan,Unknown,10500.0,Premium,In Stock,"cardigans, tan, unknown, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
40.0,edgy retro oversize tee,OVERSIZE TEE,Grey,Unknown,4000.0,Mid-Range,In Stock,"oversize tee, grey, unknown, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
41.0,classic tailored t-shirts,T-SHIRTS,Plaid,Tencel,4500.0,Mid-Range,In Stock,"t-shirts, plaid, tencel, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
42.0,luxury classic cardigans,CARDIGANS,Black,Corduroy,,Premium,In Stock,"cardigans, black, corduroy, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
43.0,vintage vintage beach wear,BEACH WEAR,Camouflage,Rayon,3000.0,Mid-Range,In Stock,"beach wear, camouflage, rayon, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
44.0,statement relaxed polos,POLOS,Red,Wool,4500.0,Mid-Range,In Stock,"polos, red, wool, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
45.0,relaxed bold chinos,CHINOS,Multi-Color,Corduroy,4000.0,Mid-Range,In Stock,"chinos, multi-color, corduroy, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
46.0,,BLAZERS,Brown,Tencel,12000.0,Premium,In Stock,"blazers, brown, tencel, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
47.0,urban luxury kimono,KIMONO,Navy,Fleece,12500.0,Premium,In Stock,"kimono, navy, fleece, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
48.0,camo sporty hoodies & jackets,HOODIES & JACKETS,Maroon,Jacquard,13000.0,Premium,In Stock,"hoodies & jackets, maroon, jacquard, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
49.0,structured oversized hoodies & jackets,HOODIES & JACKETS,Red,Denim,10500.0,Premium,In Stock,"hoodies & jackets, red, denim, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
50.0,relaxed bold beach wear,BEACH WEAR,Navy,Fleece,5000.0,Premium,In Stock,"beach wear, navy, fleece, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
51.0,oversized relaxed sweatshirts,SWEATSHIRTS,Multi-Color,Jacquard,4000.0,Mid-Range,Low Stock,"sweatshirts, multi-color, jacquard, mid-range, low stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
52.0,vintage preppy utility pants,NAN,Olive,Cotton,11500.0,Premium,In Stock,"nan, olive, cotton, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
53.0,urban bright kimono,KIMONO,Red,Tencel,9000.0,Premium,In Stock,"kimono, red, tencel, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
54.0,lightweight sporty t-shirts,T-SHIRTS,Red,Bamboo,5000.0,Premium,In Stock,"t-shirts, red, bamboo, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
55.0,casual layered coats,COATS,Mint,Rayon,13500.0,Premium,In Stock,"coats, mint, rayon, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
56.0,edgy preppy blazers,BLAZERS,Camouflage,Leather,9500.0,Premium,In Stock,"blazers, camouflage, leather, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
57.0,neutral casual cardigans,CARDIGANS,Charcoal,Silk,12000.0,Premium,In Stock,"cardigans, charcoal, silk, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
58.0,smart bright blazers,BLAZERS,Nude,Velvet,9500.0,Premium,Low Stock,"blazers, nude, velvet, premium, low stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
59.0,,OVERSIZE TEE,Multi-Color,Wool,3500.0,Mid-Range,In Stock,"oversize tee, multi-color, wool, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
60.0,smart retro hoodies & jackets,HOODIES & JACKETS,Teal,Modal,10500.0,Premium,In Stock,"hoodies & jackets, teal, modal, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
61.0,luxury heritage chinos,CHINOS,Peach,Velvet,5500.0,Premium,In Stock,"chinos, peach, velvet, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
62.0,urban comfy chinos,CHINOS,Nude,Cotton,7000.0,Premium,In Stock,"chinos, nude, cotton, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
63.0,preppy casual coats,COATS,Chocolate,Corduroy,12000.0,Premium,In Stock,"coats, chocolate, corduroy, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
64.0,,CHINOS,Nude,Polyester,6500.0,Premium,In Stock,"chinos, nude, polyester, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
65.0,soft vintage joggers & pants,JOGGERS & PANTS,White,Rayon,4500.0,Mid-Range,In Stock,"joggers & pants, white, rayon, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
66.0,layered preppy shorts,SHORTS,Tie-Dye,Corduroy,2500.0,Mid-Range,In Stock,"shorts, tie-dye, corduroy, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
67.0,bold vintage track pants,TRACK PANTS,Tan,Cotton,3000.0,Mid-Range,Out of Stock,"track pants, tan, cotton, mid-range, out of stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
68.0,patterned functional kimono,KIMONO,Camouflage,Jacquard,14000.0,Premium,In Stock,"kimono, camouflage, jacquard, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
69.0,minimalist soft joggers & pants,NAN,Chocolate,Rayon,2500.0,Mid-Range,In Stock,"nan, chocolate, rayon, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
70.0,heritage functional blazers,BLAZERS,Coral,Wool,11000.0,Premium,In Stock,"blazers, coral, wool, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
71.0,rustic structured cardigans,CARDIGANS,Red,Jacquard,14500.0,Premium,In Stock,"cardigans, red, jacquard, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
,slim fit bright coats,COATS,Pastel Blue,Wool,10000.0,Premium,Low Stock,"coats, pastel blue, wool, premium, low stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
73.0,functional urban cardigans,CARDIGANS,Grey,Linen,8000.0,Premium,In Stock,"cardigans, grey, linen, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
74.0,edgy structured beach wear,BEACH WEAR,Sky Blue,Denim,5500.0,Premium,In Stock,"beach wear, sky blue, denim, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
75.0,vintage neutral kimono,NAN,Brown,Jacquard,,Premium,In Stock,"nan, brown, jacquard, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
76.0,retro classic coats,COATS,Unknown,Fleece,12500.0,Premium,In Stock,"coats, unknown, fleece, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
77.0,casual structured polos,POLOS,Green,Denim,2500.0,Mid-Range,In Stock,"polos, green, denim, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
78.0,rustic elegant beach wear,BEACH WEAR,Unknown,Fleece,4000.0,Mid-Range,In Stock,"beach wear, unknown, fleece, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
79.0,soft lightweight beach wear,BEACH WEAR,Peach,Polyester,5000.0,Premium,In Stock,"beach wear, peach, polyester, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
80.0,bold tailored shorts,SHORTS,Blue,Modal,4500.0,Mid-Range,In Stock,"shorts, blue, modal, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
81.0,statement smart kimono,KIMONO,Pastel Green,Linen,11000.0,Premium,In Stock,"kimono, pastel green, linen, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
82.0,tailored heritage chinos,CHINOS,Navy,Bamboo,,Premium,Low Stock,"chinos, navy, bamboo, premium, low stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
,classic slim fit kimono,KIMONO,Striped,Modal,8000.0,Premium,In Stock,"kimono, striped, modal, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
84.0,layered tailored beach wear,BEACH WEAR,Red,Linen,6000.0,Premium,In Stock,"beach wear, red, linen, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
,statement vintage denim jackets,DENIM JACKETS,Green,Tencel,12500.0,Premium,Low Stock,"denim jackets, green, tencel, premium, low stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
86.0,relaxed neutral track pants,TRACK PANTS,Black,Denim,2500.0,Mid-Range,In Stock,"track pants, black, denim, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
87.0,trendy smart polos,POLOS,Tan,Tencel,2500.0,Mid-Range,In Stock,"polos, tan, tencel, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
88.0,camo sporty kimono,KIMONO,Charcoal,Modal,8000.0,Premium,In Stock,"kimono, charcoal, modal, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
89.0,sporty neutral hoodies & jackets,HOODIES & JACKETS,Camouflage,Rayon,15000.0,Premium,In Stock,"hoodies & jackets, camouflage, rayon, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
90.0,wide leg smart utility pants,UTILITY PANTS,Red,Velvet,15000.0,Premium,In Stock,"utility pants, red, velvet, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
91.0,camo retro chinos,CHINOS,Mustard,Rayon,4000.0,Mid-Range,In Stock,"chinos, mustard, rayon, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
92.0,retro lightweight tanks,TANKS,Charcoal,Jacquard,3500.0,Mid-Range,In Stock,"tanks, charcoal, jacquard, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
,textured structured beach wear,BEACH WEAR,Polka Dot,Corduroy,5500.0,Premium,In Stock,"beach wear, polka dot, corduroy, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
94.0,smart urban tanks,TANKS,Grey,Modal,3000.0,Mid-Range,In Stock,"tanks, grey, modal, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
95.0,modern tailored t-shirts,T-SHIRTS,Nude,Leather,2500.0,Mid-Range,In Stock,"t-shirts, nude, leather, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
96.0,bold minimalist blazers,BLAZERS,Orange,Velvet,10500.0,Premium,In Stock,"blazers, orange, velvet, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
97.0,minimalist layered joggers & pants,JOGGERS & PANTS,Teal,Jacquard,3000.0,Mid-Range,In Stock,"joggers & pants, teal, jacquard, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
,textured soft oversize tee,OVERSIZE TEE,Olive,Tencel,4500.0,Mid-Range,In Stock,"oversize tee, olive, tencel, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
99.0,bright trendy blazers,BLAZERS,Brown,Fleece,14500.0,Premium,In Stock,"blazers, brown, fleece, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
100.0,functional minimalist kimono,KIMONO,Orange,Fleece,12500.0,Premium,In Stock,"kimono, orange, fleece, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
101.0,layered soft kimono,KIMONO,Plaid,Rayon,8000.0,Premium,In Stock,"kimono, plaid, rayon, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
102.0,statement elegant cardigans,CARDIGANS,Navy,Modal,10000.0,Premium,In Stock,"cardigans, navy, modal, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
103.0,retro oversized sweatshirts,SWEATSHIRTS,Blue,Linen,,Premium,In Stock,"sweatshirts, blue, linen, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
104.0,structured wide leg oversize tee,OVERSIZE TEE,Blue,Leather,4000.0,Mid-Range,In Stock,"oversize tee, blue, leather, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
105.0,neutral preppy track pants,TRACK PANTS,Plaid,Bamboo,3500.0,Mid-Range,In Stock,"track pants, plaid, bamboo, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
106.0,preppy functional hoodies & jackets,HOODIES & JACKETS,Pastel Pink,Silk,9000.0,Premium,In Stock,"hoodies & jackets, pastel pink, silk, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
107.0,patterned minimalist tanks,TANKS,Checked,Bamboo,4000.0,Mid-Range,In Stock,"tanks, checked, bamboo, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
108.0,edgy luxury denim jackets,DENIM JACKETS,Sky Blue,Fleece,11000.0,Premium,Low Stock,"denim jackets, sky blue, fleece, premium, low stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
109.0,bold chic oversize tee,OVERSIZE TEE,Sky Blue,Polyester,3000.0,Mid-Range,In Stock,"oversize tee, sky blue, polyester, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
110.0,bold preppy chinos,CHINOS,Brown,Rayon,6000.0,Premium,In Stock,"chinos, brown, rayon, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
111.0,essential edgy coats,COATS,Striped,Rayon,9500.0,Premium,In Stock,"coats, striped, rayon, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
112.0,patterned essential tanks,TANKS,Tie-Dye,Jacquard,5000.0,Premium,In Stock,"tanks, tie-dye, jacquard, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
113.0,comfy wide leg beach wear,BEACH WEAR,Red,Bamboo,5000.0,Premium,In Stock,"beach wear, red, bamboo, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
114.0,camo slim fit denim jackets,DENIM JACKETS,Blush,Modal,12500.0,Premium,In Stock,"denim jackets, blush, modal, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
115.0,camo edgy sweatshirts,SWEATSHIRTS,Orange,Tencel,5000.0,Premium,In Stock,"sweatshirts, orange, tencel, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
116.0,elegant retro tanks,TANKS,Multi-Color,Velvet,3500.0,Mid-Range,In Stock,"tanks, multi-color, velvet, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
117.0,minimalist dynamic cardigans,CARDIGANS,Pink,Polyester,11500.0,Premium,In Stock,"cardigans, pink, polyester, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
118.0,soft statement utility pants,UTILITY PANTS,Teal,Modal,12500.0,Premium,In Stock,"utility pants, teal, modal, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
119.0,minimalist essential oversize tee,OVERSIZE TEE,Pastel Blue,Corduroy,3500.0,Mid-Range,In Stock,"oversize tee, pastel blue, corduroy, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
120.0,minimalist casual cardigans,CARDIGANS,Tan,Velvet,8000.0,Premium,In Stock,"cardigans, tan, velvet, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
121.0,retro slim fit polos,POLOS,Yellow,Corduroy,3500.0,Mid-Range,In Stock,"polos, yellow, corduroy, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
122.0,sporty smart coats,COATS,Olive,Denim,11500.0,Premium,In Stock,"coats, olive, denim, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
123.0,statement statement joggers & pants,JOGGERS & PANTS,Green,Jacquard,3000.0,Mid-Range,In Stock,"joggers & pants, green, jacquard, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
124.0,relaxed essential shorts,SHORTS,Camouflage,Jacquard,4000.0,Mid-Range,In Stock,"shorts, camouflage, jacquard, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
125.0,structured wide leg coats,COATS,Maroon,Jacquard,9500.0,Premium,In Stock,"coats, maroon, jacquard, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
126.0,chic lightweight tanks,TANKS,Charcoal,Rayon,4000.0,Mid-Range,In Stock,"tanks, charcoal, rayon, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
127.0,slim fit comfy cardigans,CARDIGANS,Green,Modal,14000.0,Premium,In Stock,"cardigans, green, modal, premium, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
128.0,bright neutral t-shirts,T-SHIRTS,Beige,Cotton,4000.0,Mid-Range,In Stock,"t-shirts, beige, cotton, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
129.0,smart preppy shorts,SHORTS,Plaid,Linen,3500.0,Mid-Range,In Stock,"shorts, plaid, linen, mid-range, in stock",2026-03-10T02:08:42.722027,2026-03-10T07:38:43.005700+05:30,search_index
