query,style,event,budget
show me red saree in streetwear style for date night around 6000,streetwear,date_night,mid
"looking for formal wear for date night, under 3000",formal,date_night,low
find navy blazer for beach with a mid budget and streetwear look,streetwear,beach,mid
need a athleisure jacket suitable for daily wear and budget friendly,athleisure,daily_wear,low
show me green jeans in minimal style for daily wear under 15000,minimal,daily_wear,high
need a minimal heels suitable for party and under 7000,minimal,party,mid
find red blazer for party with a mid budget and boho look,boho,party,mid
need a athleisure jacket suitable for gym and premium,athleisure,gym,high
show me pink dress in athleisure style for date night under 15000,athleisure,date_night,high
need a ethnic saree suitable for travel and quality for price,ethnic,travel,mid
find pink dress for date night with a mid budget and minimal look,minimal,date_night,mid
"looking for boho wear for daily wear, cheap",boho,daily_wear,low
need a casual saree suitable for beach and under 15000,casual,beach,high
recommend casual outfit for travel in red quality for price,casual,travel,mid
find green saree for date night with a mid budget and ethnic look,ethnic,date_night,mid
show me white jeans in casual style for office under 7000,casual,office,mid
find red blazer for party with a low budget and streetwear look,streetwear,party,low
"looking for formal wear for party, around 6000",formal,party,mid
"looking for formal wear for wedding, mid range",formal,wedding,mid
need a athleisure jeans suitable for date night and high end,athleisure,date_night,high
"looking for formal wear for travel, designer",formal,travel,high
find beige kurta for gym with a low budget and athleisure look,athleisure,gym,low
find navy heels for beach with a mid budget and smart casual look,smart_casual,beach,mid
find navy kurta for travel with a high budget and boho look,boho,travel,high
need a minimal shirt suitable for gym and cheap,minimal,gym,low
need a smart casual dress suitable for date night and mid range,smart_casual,date_night,mid
"looking for smart casual wear for party, mid range",smart_casual,party,mid
find white jeans for office with a high budget and minimal look,minimal,office,high
show me navy jacket in smart casual style for party under 15000,smart_casual,party,high
"looking for formal wear for travel, budget friendly",formal,travel,low
"looking for ethnic wear for daily wear, under 15000",ethnic,daily_wear,high
recommend ethnic outfit for gym in green designer,ethnic,gym,high
"looking for streetwear wear for beach, premium",streetwear,beach,high
"looking for boho wear for party, affordable",boho,party,low
need a minimal sneakers suitable for beach and budget friendly,minimal,beach,low
show me blue kurta in minimal style for office designer,minimal,office,high
show me navy blazer in casual style for travel premium,casual,travel,high
show me beige jacket in minimal style for daily wear around 6000,minimal,daily_wear,mid
show me pink shirt in minimal style for daily wear cheap,minimal,daily_wear,low
show me white sneakers in casual style for wedding below 2500,casual,wedding,low
recommend athleisure outfit for party in navy under 15000,athleisure,party,high
need a athleisure dress suitable for travel and luxury,athleisure,travel,high
show me blue jeans in minimal style for beach affordable,minimal,beach,low
show me navy jacket in boho style for office mid range,boho,office,mid
need a streetwear sneakers suitable for travel and premium,streetwear,travel,high
recommend minimal outfit for party in red around 6000,minimal,party,mid
"looking for boho wear for beach, affordable",boho,beach,low
recommend minimal outfit for daily wear in green cheap,minimal,daily_wear,low
"looking for smart casual wear for daily wear, budget friendly",smart_casual,daily_wear,low
"looking for minimal wear for office, budget friendly",minimal,office,low
need a casual kurta suitable for wedding and mid range,casual,wedding,mid
recommend athleisure outfit for daily wear in beige cheap,athleisure,daily_wear,low
recommend ethnic outfit for beach in pink cheap,ethnic,beach,low
recommend athleisure outfit for office in beige mid range,athleisure,office,mid
show me navy dress in formal style for date night under 15000,formal,date_night,high
need a streetwear jacket suitable for gym and premium,streetwear,gym,high
show me navy jacket in minimal style for wedding under 7000,minimal,wedding,mid
show me black kurta in streetwear style for wedding quality for price,streetwear,wedding,mid
recommend streetwear outfit for beach in blue quality for price,streetwear,beach,mid
"looking for minimal wear for date night, quality for price",minimal,date_night,mid
recommend boho outfit for date night in blue under 3000,boho,date_night,low
recommend athleisure outfit for gym in black designer,athleisure,gym,high
recommend smart casual outfit for wedding in navy mid range,smart_casual,wedding,mid
need a athleisure jeans suitable for daily wear and quality for price,athleisure,daily_wear,mid
need a athleisure jacket suitable for office and quality for price,athleisure,office,mid
find beige kurta for office with a low budget and smart casual look,smart_casual,office,low
show me pink blazer in formal style for daily wear below 2500,formal,daily_wear,low
"looking for smart casual wear for travel, mid range",smart_casual,travel,mid
show me black jacket in athleisure style for gym high end,athleisure,gym,high
show me pink shirt in streetwear style for travel under 3000,streetwear,travel,low
recommend smart casual outfit for wedding in black premium,smart_casual,wedding,high
need a casual heels suitable for travel and around 6000,casual,travel,mid
find white blazer for wedding with a low budget and athleisure look,athleisure,wedding,low
recommend streetwear outfit for daily wear in red under 15000,streetwear,daily_wear,high
"looking for smart casual wear for travel, designer",smart_casual,travel,high
recommend boho outfit for beach in green quality for price,boho,beach,mid
need a smart casual saree suitable for travel and under 3000,smart_casual,travel,low
find green sneakers for gym with a high budget and athleisure look,athleisure,gym,high
need a minimal dress suitable for office and designer,minimal,office,high
show me green jeans in ethnic style for party luxury,ethnic,party,high
show me beige dress in casual style for travel around 6000,casual,travel,mid
need a minimal saree suitable for gym and luxury,minimal,gym,high
recommend ethnic outfit for travel in navy budget friendly,ethnic,travel,low
"looking for formal wear for daily wear, cheap",formal,daily_wear,low
find green dress for beach with a mid budget and ethnic look,ethnic,beach,mid
need a ethnic saree suitable for travel and premium,ethnic,travel,high
need a smart casual kurta suitable for office and high end,smart_casual,office,high
need a formal sneakers suitable for daily wear and premium,formal,daily_wear,high
need a casual jacket suitable for office and under 7000,casual,office,mid
find pink heels for date night with a mid budget and boho look,boho,date_night,mid
recommend formal outfit for daily wear in green premium,formal,daily_wear,high
recommend streetwear outfit for daily wear in beige under 7000,streetwear,daily_wear,mid
find red sneakers for office with a mid budget and ethnic look,ethnic,office,mid
need a formal dress suitable for party and designer,formal,party,high
need a boho kurta suitable for party and affordable,boho,party,low
need a streetwear dress suitable for gym and below 2500,streetwear,gym,low
recommend minimal outfit for wedding in blue under 3000,minimal,wedding,low
need a streetwear blazer suitable for gym and under 3000,streetwear,gym,low
recommend athleisure outfit for beach in navy under 15000,athleisure,beach,high
recommend formal outfit for daily wear in black high end,formal,daily_wear,high
show me pink jacket in smart casual style for office cheap,smart_casual,office,low
need a smart casual shirt suitable for daily wear and affordable,smart_casual,daily_wear,low
"looking for formal wear for wedding, quality for price",formal,wedding,mid
"looking for minimal wear for daily wear, premium",minimal,daily_wear,high
find pink jeans for date night with a mid budget and streetwear look,streetwear,date_night,mid
recommend athleisure outfit for date night in beige under 15000,athleisure,date_night,high
show me white jacket in minimal style for gym under 3000,minimal,gym,low
show me blue heels in formal style for date night affordable,formal,date_night,low
recommend ethnic outfit for beach in pink under 7000,ethnic,beach,mid
find red kurta for gym with a low budget and minimal look,minimal,gym,low
recommend streetwear outfit for beach in beige under 7000,streetwear,beach,mid
recommend streetwear outfit for date night in black high end,streetwear,date_night,high
show me beige sneakers in casual style for wedding mid range,casual,wedding,mid
show me white saree in boho style for wedding luxury,boho,wedding,high
need a formal saree suitable for party and mid range,formal,party,mid
need a ethnic heels suitable for travel and premium,ethnic,travel,high
find green shirt for office with a high budget and boho look,boho,office,high
recommend smart casual outfit for daily wear in red under 7000,smart_casual,daily_wear,mid
need a athleisure jacket suitable for beach and under 7000,athleisure,beach,mid
need a athleisure jeans suitable for office and below 2500,athleisure,office,low
find black shirt for travel with a mid budget and minimal look,minimal,travel,mid
show me red kurta in boho style for wedding mid range,boho,wedding,mid
recommend athleisure outfit for office in navy under 7000,athleisure,office,mid
find green saree for date night with a high budget and athleisure look,athleisure,date_night,high
find beige jacket for gym with a low budget and casual look,casual,gym,low
recommend formal outfit for party in white quality for price,formal,party,mid
"looking for ethnic wear for party, under 7000",ethnic,party,mid
need a streetwear blazer suitable for gym and under 7000,streetwear,gym,mid
find white blazer for party with a low budget and minimal look,minimal,party,low
find beige heels for daily wear with a high budget and smart casual look,smart_casual,daily_wear,high
recommend formal outfit for daily wear in green under 7000,formal,daily_wear,mid
recommend formal outfit for travel in black under 7000,formal,travel,mid
"looking for minimal wear for beach, under 15000",minimal,beach,high
find beige jeans for daily wear with a high budget and casual look,casual,daily_wear,high
"looking for boho wear for office, under 7000",boho,office,mid
"looking for boho wear for office, affordable",boho,office,low
recommend boho outfit for gym in pink quality for price,boho,gym,mid
find white heels for gym with a low budget and casual look,casual,gym,low
"looking for minimal wear for travel, premium",minimal,travel,high
recommend boho outfit for gym in blue under 7000,boho,gym,mid
"looking for athleisure wear for gym, cheap",athleisure,gym,low
recommend ethnic outfit for office in blue around 6000,ethnic,office,mid
recommend smart casual outfit for party in blue under 3000,smart_casual,party,low
find blue heels for office with a high budget and formal look,formal,office,high
find navy blazer for wedding with a low budget and boho look,boho,wedding,low
"looking for ethnic wear for party, around 6000",ethnic,party,mid
find beige jeans for travel with a mid budget and streetwear look,streetwear,travel,mid
need a minimal kurta suitable for date night and luxury,minimal,date_night,high
show me beige jacket in boho style for travel affordable,boho,travel,low
"looking for formal wear for travel, cheap",formal,travel,low
show me navy jeans in boho style for date night budget friendly,boho,date_night,low
find beige kurta for office with a mid budget and athleisure look,athleisure,office,mid
recommend formal outfit for gym in beige under 3000,formal,gym,low
find navy sneakers for wedding with a low budget and boho look,boho,wedding,low
need a smart casual dress suitable for office and below 2500,smart_casual,office,low
show me green jeans in athleisure style for beach under 7000,athleisure,beach,mid
find white jacket for date night with a high budget and streetwear look,streetwear,date_night,high
show me green blazer in casual style for party under 15000,casual,party,high
"looking for ethnic wear for party, premium",ethnic,party,high
find black kurta for beach with a high budget and ethnic look,ethnic,beach,high
show me black sneakers in casual style for date night mid range,casual,date_night,mid
show me beige shirt in ethnic style for party luxury,ethnic,party,high
need a ethnic blazer suitable for gym and under 15000,ethnic,gym,high
need a boho jacket suitable for beach and designer,boho,beach,high
find green heels for party with a low budget and casual look,casual,party,low
show me green jeans in smart casual style for travel budget friendly,smart_casual,travel,low
find pink heels for travel with a low budget and ethnic look,ethnic,travel,low
"looking for athleisure wear for gym, budget friendly",athleisure,gym,low
"looking for minimal wear for beach, under 15000",minimal,beach,high
recommend boho outfit for travel in white mid range,boho,travel,mid
recommend minimal outfit for daily wear in blue under 15000,minimal,daily_wear,high
show me pink heels in smart casual style for office designer,smart_casual,office,high
need a formal kurta suitable for date night and under 7000,formal,date_night,mid
recommend smart casual outfit for office in red budget friendly,smart_casual,office,low
recommend athleisure outfit for office in navy designer,athleisure,office,high
recommend smart casual outfit for beach in beige under 15000,smart_casual,beach,high
"looking for minimal wear for party, cheap",minimal,party,low
"looking for athleisure wear for beach, around 6000",athleisure,beach,mid
find blue shirt for daily wear with a low budget and minimal look,minimal,daily_wear,low
"looking for boho wear for daily wear, under 3000",boho,daily_wear,low
need a minimal blazer suitable for travel and affordable,minimal,travel,low
recommend formal outfit for party in navy under 3000,formal,party,low
recommend ethnic outfit for daily wear in white premium,ethnic,daily_wear,high
show me pink saree in athleisure style for daily wear high end,athleisure,daily_wear,high
"looking for boho wear for gym, under 15000",boho,gym,high
"looking for ethnic wear for wedding, under 15000",ethnic,wedding,high
need a casual blazer suitable for beach and luxury,casual,beach,high
recommend ethnic outfit for party in green under 7000,ethnic,party,mid
need a streetwear sneakers suitable for travel and affordable,streetwear,travel,low
show me black heels in boho style for wedding premium,boho,wedding,high
show me pink jeans in casual style for travel high end,casual,travel,high
find navy sneakers for travel with a high budget and smart casual look,smart_casual,travel,high
find blue dress for daily wear with a low budget and minimal look,minimal,daily_wear,low
recommend smart casual outfit for daily wear in blue budget friendly,smart_casual,daily_wear,low
need a ethnic heels suitable for date night and budget friendly,ethnic,date_night,low
show me red jacket in smart casual style for beach around 6000,smart_casual,beach,mid
recommend casual outfit for travel in red around 6000,casual,travel,mid
recommend ethnic outfit for party in navy cheap,ethnic,party,low
need a smart casual saree suitable for office and below 2500,smart_casual,office,low
find navy sneakers for office with a low budget and ethnic look,ethnic,office,low
recommend minimal outfit for office in blue budget friendly,minimal,office,low
"looking for athleisure wear for gym, affordable",athleisure,gym,low
"looking for streetwear wear for gym, under 15000",streetwear,gym,high
find blue shirt for travel with a high budget and smart casual look,smart_casual,travel,high
"looking for ethnic wear for gym, luxury",ethnic,gym,high
find blue dress for office with a low budget and athleisure look,athleisure,office,low
"looking for smart casual wear for wedding, designer",smart_casual,wedding,high
"looking for ethnic wear for wedding, quality for price",ethnic,wedding,mid
find beige heels for daily wear with a low budget and minimal look,minimal,daily_wear,low
"looking for minimal wear for office, high end",minimal,office,high
"looking for streetwear wear for office, high end",streetwear,office,high
show me black jeans in athleisure style for wedding high end,athleisure,wedding,high
find pink heels for office with a mid budget and streetwear look,streetwear,office,mid
"looking for streetwear wear for date night, luxury",streetwear,date_night,high
need a streetwear jacket suitable for gym and designer,streetwear,gym,high
find green heels for gym with a high budget and smart casual look,smart_casual,gym,high
recommend streetwear outfit for party in green around 6000,streetwear,party,mid
recommend minimal outfit for party in beige under 15000,minimal,party,high
recommend minimal outfit for travel in pink cheap,minimal,travel,low
find white sneakers for travel with a low budget and boho look,boho,travel,low
recommend minimal outfit for daily wear in green affordable,minimal,daily_wear,low
"looking for boho wear for beach, premium",boho,beach,high
find pink shirt for party with a low budget and streetwear look,streetwear,party,low
find blue kurta for wedding with a low budget and formal look,formal,wedding,low
show me green heels in smart casual style for party under 7000,smart_casual,party,mid
find blue saree for office with a low budget and streetwear look,streetwear,office,low
recommend smart casual outfit for wedding in black premium,smart_casual,wedding,high
"looking for formal wear for gym, around 6000",formal,gym,mid
find beige shirt for travel with a low budget and smart casual look,smart_casual,travel,low
need a minimal heels suitable for wedding and affordable,minimal,wedding,low
find beige kurta for date night with a mid budget and boho look,boho,date_night,mid
show me beige jacket in formal style for wedding below 2500,formal,wedding,low
recommend minimal outfit for date night in green budget friendly,minimal,date_night,low
show me red heels in casual style for travel premium,casual,travel,high
recommend smart casual outfit for travel in green under 3000,smart_casual,travel,low
find navy blazer for party with a low budget and ethnic look,ethnic,party,low
need a ethnic kurta suitable for date night and high end,ethnic,date_night,high
"looking for streetwear wear for beach, premium",streetwear,beach,high
"looking for formal wear for office, high end",formal,office,high
need a boho kurta suitable for wedding and under 7000,boho,wedding,mid
need a smart casual jacket suitable for beach and under 15000,smart_casual,beach,high
show me navy dress in athleisure style for daily wear designer,athleisure,daily_wear,high
find white jeans for travel with a low budget and athleisure look,athleisure,travel,low
show me white dress in ethnic style for beach under 15000,ethnic,beach,high
find pink blazer for date night with a low budget and minimal look,minimal,date_night,low
show me blue shirt in smart casual style for date night mid range,smart_casual,date_night,mid
show me red blazer in boho style for date night premium,boho,date_night,high
find pink kurta for daily wear with a high budget and minimal look,minimal,daily_wear,high
need a streetwear heels suitable for party and mid range,streetwear,party,mid
need a formal saree suitable for office and luxury,formal,office,high
show me navy dress in formal style for beach high end,formal,beach,high
show me red jacket in streetwear style for office around 6000,streetwear,office,mid
recommend boho outfit for travel in beige below 2500,boho,travel,low
"looking for boho wear for party, under 7000",boho,party,mid
find black jacket for date night with a high budget and boho look,boho,date_night,high
need a ethnic blazer suitable for date night and quality for price,ethnic,date_night,mid
show me blue sneakers in smart casual style for party cheap,smart_casual,party,low
need a athleisure kurta suitable for date night and under 15000,athleisure,date_night,high
show me navy shirt in minimal style for party mid range,minimal,party,mid
need a streetwear saree suitable for office and under 7000,streetwear,office,mid
need a streetwear heels suitable for daily wear and under 3000,streetwear,daily_wear,low
need a streetwear jacket suitable for beach and high end,streetwear,beach,high
find green heels for party with a high budget and athleisure look,athleisure,party,high
show me navy heels in ethnic style for travel quality for price,ethnic,travel,mid
show me beige heels in smart casual style for gym cheap,smart_casual,gym,low
need a streetwear sneakers suitable for wedding and budget friendly,streetwear,wedding,low
"looking for streetwear wear for gym, cheap",streetwear,gym,low
recommend ethnic outfit for travel in navy around 6000,ethnic,travel,mid
"looking for boho wear for wedding, luxury",boho,wedding,high
need a casual dress suitable for office and cheap,casual,office,low
"looking for streetwear wear for beach, luxury",streetwear,beach,high
show me navy jacket in smart casual style for gym under 3000,smart_casual,gym,low
recommend athleisure outfit for office in green affordable,athleisure,office,low
need a casual shirt suitable for date night and affordable,casual,date_night,low
recommend streetwear outfit for party in green designer,streetwear,party,high
need a athleisure saree suitable for beach and around 6000,athleisure,beach,mid
find white dress for beach with a high budget and minimal look,minimal,beach,high
find blue dress for daily wear with a low budget and athleisure look,athleisure,daily_wear,low
need a athleisure shirt suitable for gym and luxury,athleisure,gym,high
"looking for smart casual wear for travel, affordable",smart_casual,travel,low
find red dress for wedding with a mid budget and casual look,casual,wedding,mid
recommend formal outfit for travel in pink affordable,formal,travel,low
show me beige shirt in athleisure style for wedding premium,athleisure,wedding,high
show me pink heels in athleisure style for party budget friendly,athleisure,party,low
find beige jeans for daily wear with a mid budget and minimal look,minimal,daily_wear,mid
show me red sneakers in boho style for date night under 3000,boho,date_night,low
recommend minimal outfit for wedding in pink mid range,minimal,wedding,mid
recommend formal outfit for beach in navy budget friendly,formal,beach,low
"looking for formal wear for wedding, cheap",formal,wedding,low
show me beige shirt in athleisure style for beach affordable,athleisure,beach,low
show me pink sneakers in ethnic style for date night cheap,ethnic,date_night,low
recommend streetwear outfit for wedding in blue luxury,streetwear,wedding,high
find white blazer for travel with a mid budget and minimal look,minimal,travel,mid
recommend minimal outfit for date night in white mid range,minimal,date_night,mid
need a streetwear jeans suitable for daily wear and premium,streetwear,daily_wear,high
find pink heels for office with a mid budget and minimal look,minimal,office,mid
"looking for ethnic wear for date night, designer",ethnic,date_night,high
recommend streetwear outfit for daily wear in pink mid range,streetwear,daily_wear,mid
recommend smart casual outfit for party in green quality for price,smart_casual,party,mid
show me blue kurta in formal style for party high end,formal,party,high
find white sneakers for party with a mid budget and smart casual look,smart_casual,party,mid
find blue sneakers for travel with a low budget and boho look,boho,travel,low
"looking for formal wear for daily wear, high end",formal,daily_wear,high
need a athleisure kurta suitable for office and under 7000,athleisure,office,mid
find pink dress for wedding with a high budget and ethnic look,ethnic,wedding,high
"looking for formal wear for office, affordable",formal,office,low
recommend streetwear outfit for daily wear in navy around 6000,streetwear,daily_wear,mid
show me pink sneakers in casual style for daily wear under 3000,casual,daily_wear,low
"looking for boho wear for gym, around 6000",boho,gym,mid
recommend smart casual outfit for gym in navy quality for price,smart_casual,gym,mid
show me black shirt in formal style for travel budget friendly,formal,travel,low
"looking for boho wear for party, designer",boho,party,high
find blue saree for daily wear with a low budget and athleisure look,athleisure,daily_wear,low
find navy jeans for office with a high budget and athleisure look,athleisure,office,high
show me red jeans in athleisure style for office designer,athleisure,office,high
show me red heels in formal style for wedding quality for price,formal,wedding,mid
find pink heels for daily wear with a high budget and minimal look,minimal,daily_wear,high
"looking for formal wear for gym, mid range",formal,gym,mid
show me red shirt in formal style for wedding mid range,formal,wedding,mid
"looking for boho wear for gym, under 15000",boho,gym,high
"looking for boho wear for date night, around 6000",boho,date_night,mid
find blue blazer for daily wear with a mid budget and boho look,boho,daily_wear,mid
find blue jacket for gym with a low budget and casual look,casual,gym,low
find pink jacket for date night with a high budget and smart casual look,smart_casual,date_night,high
show me red dress in boho style for beach designer,boho,beach,high
"looking for minimal wear for party, under 15000",minimal,party,high
recommend smart casual outfit for beach in green high end,smart_casual,beach,high
need a casual jeans suitable for daily wear and premium,casual,daily_wear,high
find beige sneakers for office with a mid budget and minimal look,minimal,office,mid
"looking for formal wear for party, below 2500",formal,party,low
recommend boho outfit for party in beige affordable,boho,party,low
recommend boho outfit for gym in green high end,boho,gym,high
need a formal dress suitable for wedding and around 6000,formal,wedding,mid
find red heels for wedding with a high budget and streetwear look,streetwear,wedding,high
show me pink saree in boho style for travel under 15000,boho,travel,high
find beige sneakers for date night with a high budget and formal look,formal,date_night,high
show me navy shirt in ethnic style for office designer,ethnic,office,high
recommend athleisure outfit for party in navy mid range,athleisure,party,mid
show me navy blazer in minimal style for gym designer,minimal,gym,high
need a casual jacket suitable for beach and premium,casual,beach,high
recommend smart casual outfit for daily wear in red below 2500,smart_casual,daily_wear,low
recommend boho outfit for travel in green under 3000,boho,travel,low
show me red sneakers in boho style for office quality for price,boho,office,mid
"looking for formal wear for office, below 2500",formal,office,low
find beige dress for daily wear with a low budget and streetwear look,streetwear,daily_wear,low
show me pink jeans in boho style for daily wear under 3000,boho,daily_wear,low
need a formal sneakers suitable for gym and quality for price,formal,gym,mid
recommend boho outfit for beach in blue under 15000,boho,beach,high
show me red jacket in streetwear style for wedding under 7000,streetwear,wedding,mid
recommend boho outfit for beach in beige under 15000,boho,beach,high
show me red shirt in boho style for party mid range,boho,party,mid
recommend minimal outfit for party in red under 15000,minimal,party,high
find white saree for party with a mid budget and casual look,casual,party,mid
"looking for formal wear for office, quality for price",formal,office,mid
show me navy blazer in athleisure style for gym premium,athleisure,gym,high
find black jeans for office with a mid budget and formal look,formal,office,mid
recommend minimal outfit for date night in white around 6000,minimal,date_night,mid
"looking for formal wear for travel, below 2500",formal,travel,low
need a ethnic shirt suitable for date night and under 15000,ethnic,date_night,high
"looking for casual wear for party, cheap",casual,party,low
need a casual blazer suitable for travel and premium,casual,travel,high
recommend casual outfit for wedding in green around 6000,casual,wedding,mid
find black shirt for travel with a high budget and boho look,boho,travel,high
"looking for minimal wear for beach, quality for price",minimal,beach,mid
recommend ethnic outfit for office in beige around 6000,ethnic,office,mid
show me black kurta in formal style for beach under 3000,formal,beach,low
need a streetwear heels suitable for office and around 6000,streetwear,office,mid
recommend casual outfit for date night in red cheap,casual,date_night,low
show me white heels in minimal style for beach high end,minimal,beach,high
find pink dress for party with a high budget and boho look,boho,party,high
recommend minimal outfit for travel in navy under 7000,minimal,travel,mid
recommend streetwear outfit for travel in red under 15000,streetwear,travel,high
show me red kurta in smart casual style for party luxury,smart_casual,party,high
recommend athleisure outfit for office in beige under 3000,athleisure,office,low
"looking for casual wear for date night, luxury",casual,date_night,high
show me blue dress in streetwear style for date night mid range,streetwear,date_night,mid
show me beige saree in casual style for party under 15000,casual,party,high
"looking for formal wear for wedding, high end",formal,wedding,high
recommend casual outfit for date night in red designer,casual,date_night,high
recommend ethnic outfit for date night in beige under 15000,ethnic,date_night,high
show me white blazer in streetwear style for beach below 2500,streetwear,beach,low
"looking for boho wear for daily wear, under 7000",boho,daily_wear,mid
show me navy sneakers in ethnic style for party mid range,ethnic,party,mid
recommend formal outfit for wedding in black luxury,formal,wedding,high
"looking for boho wear for beach, under 15000",boho,beach,high
find black blazer for travel with a mid budget and casual look,casual,travel,mid
show me blue shirt in streetwear style for beach under 7000,streetwear,beach,mid
show me pink jeans in casual style for party budget friendly,casual,party,low
need a minimal shirt suitable for beach and cheap,minimal,beach,low
need a formal dress suitable for gym and under 3000,formal,gym,low
need a athleisure dress suitable for date night and quality for price,athleisure,date_night,mid
need a ethnic sneakers suitable for party and cheap,ethnic,party,low
"looking for casual wear for party, under 15000",casual,party,high
find pink sneakers for office with a low budget and smart casual look,smart_casual,office,low
recommend streetwear outfit for party in black under 15000,streetwear,party,high
recommend smart casual outfit for daily wear in beige quality for price,smart_casual,daily_wear,mid
show me black jeans in boho style for office mid range,boho,office,mid
need a smart casual jeans suitable for gym and premium,smart_casual,gym,high
find red dress for travel with a high budget and streetwear look,streetwear,travel,high
"looking for ethnic wear for wedding, budget friendly",ethnic,wedding,low
"looking for casual wear for gym, under 15000",casual,gym,high
need a minimal dress suitable for wedding and under 7000,minimal,wedding,mid
"looking for streetwear wear for office, designer",streetwear,office,high
show me beige blazer in streetwear style for wedding under 7000,streetwear,wedding,mid
recommend boho outfit for wedding in beige under 3000,boho,wedding,low
need a athleisure sneakers suitable for beach and around 6000,athleisure,beach,mid
"looking for athleisure wear for daily wear, high end",athleisure,daily_wear,high
recommend ethnic outfit for party in pink designer,ethnic,party,high
show me pink dress in boho style for wedding high end,boho,wedding,high
need a boho jeans suitable for gym and under 15000,boho,gym,high
show me beige heels in ethnic style for beach below 2500,ethnic,beach,low
show me red sneakers in ethnic style for daily wear below 2500,ethnic,daily_wear,low
find black dress for travel with a low budget and ethnic look,ethnic,travel,low
"looking for athleisure wear for wedding, mid range",athleisure,wedding,mid
show me blue jeans in athleisure style for beach quality for price,athleisure,beach,mid
show me green heels in casual style for travel under 3000,casual,travel,low
recommend ethnic outfit for wedding in white under 7000,ethnic,wedding,mid
