anchor,positive,negative
"neutral preppy track pants track pants plaid bamboo summer, winter, streetwear, floral, casual","sporty edgy track pants track pants brown velvet dark skin, old money, autumn, party wear, winter","oversized luxury cardigans cardigans off-white corduroy eco-friendly, sporty, luxury, travel friendly, y2k, comfy, autumn, monochrome"
green sweatshirts bamboo,"oversized relaxed sweatshirts sweatshirts multi-color jacquard streetwear, curvy friendly, fair skin, oversized, medium skin, athleisure, skinny friendly, floral","urban functional beach wear beach wear teal denim preppy, urban, polka dot, cottagecore, curvy friendly, neutral skin, business casual"
"lightweight preppy polos polos beige linen eco-friendly, curvy friendly, hipster, dark skin, spring, monochrome, tall friendly, rainy weather","bold rustic polos polos mustard polyester travel friendly, old money, polka dot, layering, slim fit, floral, winter, comfy","elegant structured joggers & pants joggers & pants crimson bamboo cold weather, y2k, business casual, patterned, old money, floral, comfy, athleisure"
"casual bold coats coats maroon wool comfy, hot weather, casual, petite friendly, vintage, hipster, skinny friendly, tall friendly","structured neutral coats coats grey wool athleisure, beach wear, festival, minimalist, formal, neutral skin, urban","urban structured kimono kimono brown fleece beach wear, eco-friendly, sporty, old money, patterned, monochrome, tall friendly"
"textured vintage coats coats blue bamboo sporty, curvy friendly, winter, y2k, hot weather, slim fit","classic wide leg t-shirts t-shirts blue rayon floral, medium skin, tall friendly, casual, festival, vintage, y2k","textured rustic polos polos polka dot cotton layering, preppy, formal, athleisure, curvy friendly"
"elegant sporty sweatshirts sweatshirts coral cotton cold weather, formal, travel friendly, slim fit, hot weather, polka dot, neutral skin, skinny friendly","slim fit sporty cardigans cardigans coral leather layering, slim fit, oversized, business casual, tall friendly, sporty","soft edgy beach wear beach wear mint linen petite friendly, patterned, hipster, business casual, cold weather, monochrome"
"retro slim fit polos polos yellow corduroy athleisure, streetwear, hot weather, neutral skin, oversized, casual, business casual, old money","classic heritage kimono kimono yellow denim travel friendly, vintage, office wear, cold weather, rainy weather","statement classic oversize tee oversize tee nude cotton formal, office wear, checked, business casual, cottagecore, slim fit"
"elegant statement hoodies & jackets hoodies & jackets pink rayon stripes, tall friendly, rainy weather, hot weather, spring, floral","soft minimalist hoodies & jackets hoodies & jackets charcoal corduroy patterned, medium skin, preppy, cold weather, sporty, hot weather","patterned elegant joggers & pants joggers & pants brown cotton y2k, cold weather, slim fit, petite friendly, autumn, athleisure, winter, polka dot"
off-white oversize tee bamboo,"wide leg comfy oversize tee oversize tee olive tencel neutral skin, curvy friendly, formal, autumn, office wear","elegant refined sweatshirts sweatshirts olive corduroy beach wear, athleisure, tall friendly, luxury, sporty"
"sporty smart coats coats olive denim neutral skin, layering, festival, sporty, urban, curvy friendly, beach wear","dynamic preppy chinos chinos olive rayon comfy, preppy, casual, spring, formal, stripes","chic urban polos polos chocolate silk minimalist, festival, vintage, formal, cold weather, business casual, comfy"
"structured oversized oversize tee oversize tee polka dot silk hipster, party wear, travel friendly, edgy, cold weather, rainy weather, athleisure, autumn","textured structured t-shirts t-shirts polka dot cotton festival, slim fit, curvy friendly, urban, hipster, vintage, monochrome, autumn","comfy modern kimono kimono pastel blue corduroy patterned, minimalist, cold weather, cottagecore, neutral skin, medium skin, beach wear"
"heritage structured sweatshirts sweatshirts navy rayon polka dot, hipster, travel friendly, old money, preppy, sporty, business casual","bright slim fit joggers & pants joggers & pants navy silk slim fit, party wear, comfy, rainy weather, polka dot, oversized, checked","functional slim fit chinos chinos pastel pink fleece streetwear, polka dot, fair skin, formal, casual, minimalist, y2k"
"smart chic hoodies & jackets hoodies & jackets plaid linen comfy, winter, sporty, curvy friendly, minimalist, dark skin, skinny friendly, tall friendly","edgy functional hoodies & jackets hoodies & jackets multi-color corduroy polka dot, floral, sporty, layering, office wear, autumn, urban, summer","dynamic rustic chinos chinos brown linen comfy, neutral skin, hipster, cold weather, skinny friendly, rainy weather, vintage"
"modern neutral sweatshirts sweatshirts pastel pink linen slim fit, polka dot, party wear, casual, athleisure, business casual","wide leg wide leg sweatshirts sweatshirts pink rayon beach wear, medium skin, winter, layering, luxury","retro smart tanks tanks yellow velvet floral, layering, dark skin, formal, casual, preppy, party wear"
"textured heritage t-shirts t-shirts camouflage denim rainy weather, business casual, y2k, party wear, monochrome","preppy tailored cardigans cardigans camouflage velvet business casual, casual, floral, party wear, festival, monochrome, petite friendly","lightweight camo sweatshirts sweatshirts blush corduroy curvy friendly, office wear, beach wear, party wear, fair skin, slim fit, eco-friendly, petite friendly"
"bold camo oversize tee oversize tee peach jacquard curvy friendly, eco-friendly, dark skin, stripes, medium skin, business casual, patterned, beach wear","classic heritage shorts shorts peach modal minimalist, spring, luxury, skinny friendly, hot weather, travel friendly, edgy, hipster","dynamic comfy utility pants utility pants camouflage corduroy oversized, preppy, autumn, party wear, athleisure, vintage, minimalist, old money"
"essential wide leg utility pants utility pants pastel pink modal fair skin, medium skin, office wear, summer, festival, winter, neutral skin, casual","rustic refined utility pants utility pants brown cotton summer, dark skin, checked, curvy friendly, party wear","chic oversized coats coats multi-color denim formal, preppy, tall friendly, layering, neutral skin, casual, winter, minimalist"
"tailored tailored sweatshirts sweatshirts camouflage rayon autumn, office wear, preppy, spring, comfy, vintage, beach wear, fair skin","elegant minimalist oversize tee oversize tee camouflage bamboo preppy, sporty, eco-friendly, minimalist, summer, neutral skin, old money","trendy modern chinos chinos coral silk athleisure, autumn, checked, preppy, edgy"
"slim fit neutral t-shirts t-shirts crimson velvet layering, minimalist, medium skin, oversized, comfy, tall friendly, office wear, luxury","oversized tailored t-shirts t-shirts tan rayon polka dot, rainy weather, business casual, urban, travel friendly","sporty functional coats coats beige linen festival, layering, eco-friendly, edgy, hot weather, winter, polka dot, monochrome"
"functional edgy joggers & pants joggers & pants off-white silk winter, checked, festival, dark skin, fair skin, oversized, preppy","comfy chic joggers & pants joggers & pants mint wool beach wear, formal, neutral skin, sporty, comfy","relaxed refined sweatshirts sweatshirts crimson silk slim fit, fair skin, floral, winter, monochrome, office wear, comfy"
"urban statement denim jackets denim jackets striped denim rainy weather, edgy, dark skin, neutral skin, y2k","trendy sporty cardigans cardigans striped wool party wear, business casual, spring, vintage, beach wear, summer, curvy friendly, hipster","bold soft tanks tanks red polyester luxury, preppy, cold weather, beach wear, tall friendly"
"modern modern sweatshirts sweatshirts blue denim casual, patterned, streetwear, stripes, checked, hipster, beach wear, athleisure","retro comfy hoodies & jackets hoodies & jackets blue jacquard dark skin, cold weather, luxury, petite friendly, sporty, festival, medium skin","wide leg preppy utility pants utility pants green silk oversized, summer, office wear, vintage, preppy, travel friendly"
"rustic statement tanks tanks white jacquard minimalist, neutral skin, preppy, urban, casual, floral","sporty modern track pants track pants white jacquard minimalist, casual, skinny friendly, festival, autumn, travel friendly","retro casual denim jackets denim jackets pastel pink linen formal, beach wear, y2k, business casual, checked, monochrome"
polka dot track pants wool,"luxury textured track pants track pants blush modal rainy weather, edgy, tall friendly, floral, vintage","bold neutral tanks tanks orange fleece y2k, slim fit, beach wear, dark skin, festival"
"essential casual hoodies & jackets hoodies & jackets multi-color silk hipster, patterned, festival, dark skin, stripes, summer, cottagecore","preppy relaxed cardigans cardigans multi-color denim petite friendly, formal, checked, spring, cold weather, luxury, patterned, stripes","oversized bold oversize tee oversize tee maroon leather curvy friendly, business casual, monochrome, winter, hot weather, dark skin, autumn, comfy"
"textured rustic shorts shorts navy fleece petite friendly, layering, comfy, cottagecore, preppy, neutral skin","structured minimalist track pants track pants navy bamboo oversized, athleisure, monochrome, rainy weather, stripes, party wear","neutral refined beach wear beach wear brown modal urban, neutral skin, checked, edgy, comfy"
"smart bright chinos chinos charcoal linen hipster, y2k, floral, neutral skin, checked, sporty, athleisure, stripes","tailored bright t-shirts t-shirts charcoal rayon luxury, streetwear, skinny friendly, spring, stripes, party wear, formal, y2k","rustic sporty blazers blazers pastel blue leather medium skin, old money, urban, rainy weather, eco-friendly, patterned"
"soft lightweight beach wear beach wear peach polyester party wear, layering, minimalist, streetwear, urban, hipster","layered tailored beach wear beach wear red linen athleisure, office wear, monochrome, oversized, hot weather, autumn, y2k, vintage","functional edgy coats coats tan bamboo urban, luxury, sporty, hot weather, casual, office wear, skinny friendly"
"bold tailored shorts shorts blue modal monochrome, vintage, autumn, business casual, summer, floral, checked","relaxed essential shorts shorts camouflage jacquard streetwear, casual, office wear, beach wear, summer, athleisure, autumn, edgy","retro vintage tanks tanks beige fleece cold weather, oversized, curvy friendly, travel friendly, rainy weather, tall friendly, minimalist"
"bright slim fit joggers & pants joggers & pants navy silk slim fit, party wear, comfy, rainy weather, polka dot, oversized, checked","lightweight sporty utility pants utility pants navy velvet fair skin, dark skin, neutral skin, casual, checked, streetwear, formal","casual dynamic tanks tanks camouflage denim business casual, dark skin, spring, luxury, old money, beach wear"
"functional minimalist chinos chinos pastel blue polyester neutral skin, tall friendly, polka dot, y2k, rainy weather, hipster, dark skin, luxury","vintage vintage denim jackets denim jackets pastel blue fleece comfy, patterned, stripes, rainy weather, medium skin, summer","retro soft cardigans cardigans green leather medium skin, casual, urban, hot weather, travel friendly, tall friendly, office wear"
"dynamic structured chinos chinos peach cotton old money, comfy, travel friendly, rainy weather, festival, business casual, formal, office wear","layered rustic chinos chinos crimson jacquard monochrome, skinny friendly, comfy, stripes, autumn, old money, streetwear, cottagecore","relaxed wide leg denim jackets denim jackets beige velvet sporty, curvy friendly, floral, eco-friendly, oversized, patterned"
"relaxed edgy shorts shorts tie-dye tencel office wear, skinny friendly, winter, athleisure, spring, old money, beach wear","functional bold hoodies & jackets hoodies & jackets tie-dye modal patterned, medium skin, autumn, beach wear, travel friendly, dark skin, hot weather, layering","bright textured shorts shorts red polyester tall friendly, medium skin, festival, checked, athleisure"
"essential layered denim jackets denim jackets chocolate leather summer, sporty, luxury, formal, eco-friendly","rustic smart denim jackets denim jackets sky blue wool polka dot, summer, old money, travel friendly, rainy weather, neutral skin, hipster, party wear","rustic edgy joggers & pants joggers & pants mint velvet streetwear, casual, oversized, layering, y2k"
"vintage modern utility pants utility pants pastel pink modal party wear, medium skin, tall friendly, neutral skin, cold weather, layering","bold heritage cardigans cardigans pastel pink rayon beach wear, autumn, medium skin, slim fit, floral, urban, formal","soft trendy denim jackets denim jackets tan wool oversized, layering, office wear, old money, petite friendly, autumn, stripes"
"slim fit neutral t-shirts t-shirts crimson velvet layering, minimalist, medium skin, oversized, comfy, tall friendly, office wear, luxury","retro luxury hoodies & jackets hoodies & jackets crimson wool preppy, monochrome, formal, urban, checked","relaxed retro oversize tee oversize tee mustard fleece luxury, skinny friendly, preppy, spring, urban, formal"
"modern functional tanks tanks checked jacquard beach wear, travel friendly, slim fit, cottagecore, winter, sporty, edgy","structured refined tanks tanks orange linen minimalist, patterned, rainy weather, curvy friendly, tall friendly, cold weather, party wear","rustic heritage shorts shorts coral leather travel friendly, skinny friendly, tall friendly, petite friendly, curvy friendly, neutral skin, polka dot, oversized"
"smart minimalist oversize tee oversize tee crimson tencel stripes, dark skin, floral, old money, monochrome, skinny friendly, hot weather","dynamic essential oversize tee oversize tee striped denim tall friendly, monochrome, beach wear, neutral skin, sporty, layering, slim fit, comfy","comfy casual hoodies & jackets hoodies & jackets chocolate wool casual, floral, office wear, vintage, monochrome, travel friendly, layering"
"soft elegant polos polos brown rayon comfy, summer, streetwear, medium skin, hot weather, athleisure","edgy preppy polos polos blue cotton curvy friendly, minimalist, luxury, tall friendly, checked, festival","classic neutral tanks tanks tan jacquard travel friendly, comfy, party wear, autumn, streetwear, formal, business casual"
"tailored vintage kimono kimono coral denim casual, skinny friendly, comfy, sporty, office wear","rustic oversized tanks tanks coral linen skinny friendly, travel friendly, edgy, cold weather, neutral skin","functional edgy cardigans cardigans nude cotton party wear, cottagecore, winter, medium skin, luxury"
"rustic luxury kimono kimono brown cotton petite friendly, checked, winter, party wear, hipster","neutral refined beach wear beach wear brown modal urban, neutral skin, checked, edgy, comfy","sporty refined polos polos black rayon cottagecore, winter, monochrome, office wear, neutral skin, petite friendly, summer"
"comfy smart sweatshirts sweatshirts orange polyester party wear, stripes, luxury, travel friendly, layering","structured oversized cardigans cardigans orange modal edgy, neutral skin, urban, winter, y2k, fair skin","wide leg vintage blazers blazers beige jacquard floral, winter, preppy, cold weather, party wear"
"sporty camo chinos chinos navy denim casual, tall friendly, urban, neutral skin, streetwear","heritage modern t-shirts t-shirts navy bamboo preppy, vintage, hipster, office wear, comfy, travel friendly, polka dot","chic preppy utility pants utility pants blue corduroy sporty, luxury, curvy friendly, fair skin, business casual"
"urban neutral cardigans cardigans navy jacquard minimalist, urban, preppy, edgy, party wear, beach wear","slim fit camo cardigans cardigans blush tencel hot weather, medium skin, neutral skin, vintage, floral","lightweight camo polos polos crimson denim urban, casual, comfy, festival, office wear, petite friendly, checked"
tie-dye shorts fleece,"textured structured shorts shorts grey rayon edgy, streetwear, urban, beach wear, fair skin, eco-friendly, summer","refined casual sweatshirts sweatshirts tan bamboo medium skin, hot weather, cottagecore, neutral skin, beach wear, casual, fair skin"
nude shorts velvet,"textured structured shorts shorts grey rayon edgy, streetwear, urban, beach wear, fair skin, eco-friendly, summer","refined comfy track pants track pants grey modal travel friendly, party wear, dark skin, casual, beach wear, vintage"
"bold chic oversize tee oversize tee sky blue polyester urban, office wear, checked, comfy, oversized, slim fit, monochrome, dark skin","retro classic cardigans cardigans sky blue rayon festival, oversized, hipster, preppy, minimalist, y2k, layering","neutral relaxed joggers & pants joggers & pants navy cotton office wear, checked, eco-friendly, sporty, party wear, medium skin, business casual"
"urban heritage blazers blazers mint corduroy office wear, curvy friendly, y2k, formal, edgy, minimalist, medium skin, vintage","classic trendy blazers blazers pink rayon petite friendly, casual, fair skin, party wear, slim fit","modern structured kimono kimono plaid cotton hot weather, spring, patterned, athleisure, floral, old money"
checked t-shirts linen,"chic luxury t-shirts t-shirts yellow wool streetwear, sporty, neutral skin, minimalist, travel friendly, hot weather, party wear, monochrome","functional minimalist chinos chinos pastel blue polyester neutral skin, tall friendly, polka dot, y2k, rainy weather, hipster, dark skin, luxury"
"dynamic statement hoodies & jackets hoodies & jackets coral wool stripes, comfy, athleisure, neutral skin, festival, autumn, petite friendly, minimalist","essential casual hoodies & jackets hoodies & jackets multi-color silk hipster, patterned, festival, dark skin, stripes, summer, cottagecore","oversized refined cardigans cardigans red velvet autumn, streetwear, cottagecore, patterned, dark skin"
"neutral casual cardigans cardigans charcoal silk festival, layering, hipster, sporty, cottagecore, medium skin, summer, oversized","camo sporty kimono kimono charcoal modal stripes, spring, hipster, checked, party wear, polka dot, floral, rainy weather","trendy structured joggers & pants joggers & pants nude polyester office wear, hot weather, old money, beach wear, cottagecore, urban"
"relaxed relaxed polos polos mustard leather comfy, slim fit, curvy friendly, cottagecore, winter, festival, neutral skin, office wear","preppy essential joggers & pants joggers & pants mustard tencel floral, layering, hipster, formal, business casual, y2k, eco-friendly, athleisure","lightweight slim fit oversize tee oversize tee nude wool medium skin, eco-friendly, patterned, cold weather, old money, cottagecore, spring"
