anchor,positive,negative
brown joggers & pants denim,"lightweight heritage joggers & pants joggers & pants orange fleece office wear, petite friendly, hot weather, minimalist, party wear, polka dot, summer","preppy casual coats coats chocolate corduroy preppy, summer, rainy weather, slim fit, polka dot, layering, monochrome"
"dynamic rustic track pants track pants green wool old money, spring, neutral skin, dark skin, monochrome, skinny friendly","classic statement track pants track pants green polyester cottagecore, dark skin, monochrome, patterned, old money, checked, hipster","comfy dynamic tanks tanks pink wool fair skin, office wear, layering, spring, y2k"
pastel blue beach wear cotton,"vintage oversized beach wear beach wear mustard velvet dark skin, eco-friendly, edgy, hipster, business casual, y2k, travel friendly","preppy functional hoodies & jackets hoodies & jackets pastel pink silk curvy friendly, fair skin, comfy, party wear, luxury, slim fit, floral, medium skin"
blush tanks leather,"smart urban tanks tanks grey modal hot weather, winter, streetwear, vintage, floral","rustic elegant t-shirts t-shirts olive tencel dark skin, cottagecore, neutral skin, checked, skinny friendly, medium skin"
"bold textured hoodies & jackets hoodies & jackets coral bamboo slim fit, layering, medium skin, fair skin, comfy, dark skin, hot weather, minimalist","oversized urban sweatshirts sweatshirts coral denim medium skin, preppy, minimalist, monochrome, skinny friendly, beach wear, formal","rustic smart polos polos pastel blue silk hot weather, party wear, edgy, stripes, athleisure, fair skin, curvy friendly, polka dot"
"structured comfy chinos chinos pink velvet dark skin, rainy weather, business casual, medium skin, hipster, edgy","relaxed bold chinos chinos multi-color corduroy urban, y2k, travel friendly, hipster, preppy, dark skin, cold weather, business casual","trendy rustic cardigans cardigans green leather layering, cottagecore, floral, neutral skin, winter"
"elegant elegant denim jackets denim jackets teal linen dark skin, athleisure, minimalist, vintage, formal, monochrome, streetwear","bold structured denim jackets denim jackets crimson polyester patterned, party wear, slim fit, edgy, beach wear","comfy minimalist oversize tee oversize tee green silk luxury, stripes, layering, polka dot, business casual"
"essential oversized oversize tee oversize tee yellow wool comfy, cold weather, travel friendly, skinny friendly, urban, slim fit, y2k, office wear","bold rustic joggers & pants joggers & pants yellow bamboo old money, spring, luxury, summer, athleisure, medium skin","edgy preppy blazers blazers camouflage leather curvy friendly, beach wear, monochrome, polka dot, skinny friendly, autumn, party wear"
"elegant textured denim jackets denim jackets pastel green bamboo tall friendly, neutral skin, eco-friendly, urban, slim fit, monochrome","smart trendy cardigans cardigans pastel green corduroy patterned, festival, office wear, polka dot, checked, floral, fair skin","luxury luxury joggers & pants joggers & pants pink linen luxury, patterned, summer, hot weather, checked"
"relaxed vintage kimono kimono pastel pink leather winter, streetwear, beach wear, eco-friendly, festival, summer, cold weather","classic heritage kimono kimono yellow denim travel friendly, vintage, office wear, cold weather, rainy weather","refined smart t-shirts t-shirts yellow linen beach wear, polka dot, checked, dark skin, old money, cottagecore, medium skin, y2k"
"bold preppy chinos chinos brown rayon dark skin, medium skin, autumn, eco-friendly, petite friendly","sporty edgy track pants track pants brown velvet dark skin, old money, autumn, party wear, winter","chic classic utility pants utility pants teal jacquard medium skin, patterned, business casual, athleisure, luxury, vintage"
"preppy chic tanks tanks crimson corduroy oversized, comfy, luxury, checked, winter, edgy","vintage bold tanks tanks maroon polyester streetwear, vintage, floral, slim fit, luxury, dark skin","rustic patterned kimono kimono pastel pink rayon polka dot, neutral skin, comfy, summer, vintage, athleisure, skinny friendly"
"lightweight slim fit oversize tee oversize tee nude wool medium skin, eco-friendly, patterned, cold weather, old money, cottagecore, spring","soft elegant oversize tee oversize tee camouflage rayon comfy, winter, floral, travel friendly, petite friendly, y2k","luxury functional t-shirts t-shirts checked polyester festival, streetwear, party wear, tall friendly, oversized, neutral skin, autumn, y2k"
olive tanks corduroy,"smart urban tanks tanks grey modal hot weather, winter, streetwear, vintage, floral","slim fit comfy cardigans cardigans green modal floral, hot weather, stripes, luxury, comfy, urban, sporty"
"oversized bold beach wear beach wear grey wool business casual, winter, spring, skinny friendly, minimalist, oversized","structured neutral coats coats grey wool athleisure, beach wear, festival, minimalist, formal, neutral skin, urban","dynamic sporty utility pants utility pants white cotton cottagecore, floral, luxury, beach wear, festival, stripes"
"neutral refined beach wear beach wear brown modal urban, neutral skin, checked, edgy, comfy","vintage oversized cardigans cardigans brown fleece spring, summer, formal, travel friendly, old money, petite friendly, cold weather","textured slim fit sweatshirts sweatshirts pastel blue jacquard spring, layering, eco-friendly, winter, sporty"
"comfy chic joggers & pants joggers & pants mint wool beach wear, formal, neutral skin, sporty, comfy","lightweight oversized joggers & pants joggers & pants maroon linen cottagecore, medium skin, tall friendly, floral, fair skin, beach wear, urban","bright structured chinos chinos plaid wool cold weather, business casual, spring, slim fit, athleisure, streetwear, luxury, travel friendly"
"heritage soft hoodies & jackets hoodies & jackets blush denim y2k, festival, party wear, autumn, casual, edgy","trendy structured hoodies & jackets hoodies & jackets olive denim business casual, office wear, casual, festival, fair skin, minimalist","layered tailored coats coats black tencel urban, curvy friendly, office wear, floral, edgy"
"chic essential oversize tee oversize tee beige corduroy cottagecore, office wear, y2k, oversized, polka dot, formal","statement comfy shorts shorts beige bamboo skinny friendly, medium skin, urban, business casual, spring, eco-friendly, curvy friendly","dynamic camo polos polos mint linen rainy weather, slim fit, spring, business casual, summer, monochrome, stripes, old money"
"wide leg neutral denim jackets denim jackets white bamboo y2k, cottagecore, rainy weather, beach wear, formal","retro wide leg denim jackets denim jackets camouflage denim skinny friendly, comfy, preppy, beach wear, luxury, hipster","functional soft coats coats multi-color polyester floral, checked, luxury, hipster, formal"
"luxury luxury joggers & pants joggers & pants olive fleece y2k, party wear, medium skin, travel friendly, neutral skin, fair skin","minimalist relaxed joggers & pants joggers & pants red linen preppy, hipster, tall friendly, vintage, minimalist, floral, old money","slim fit casual blazers blazers teal cotton formal, spring, athleisure, y2k, festival, business casual, floral"
beige beach wear linen,"vintage oversized beach wear beach wear mustard velvet dark skin, eco-friendly, edgy, hipster, business casual, y2k, travel friendly","oversized refined cardigans cardigans red velvet autumn, streetwear, cottagecore, patterned, dark skin"
"elegant minimalist utility pants utility pants chocolate linen travel friendly, old money, luxury, athleisure, y2k, eco-friendly, layering, casual","casual edgy utility pants utility pants polka dot jacquard old money, hipster, skinny friendly, polka dot, beach wear, stripes, travel friendly, cottagecore","luxury tailored kimono kimono grey denim autumn, stripes, cold weather, cottagecore, spring, rainy weather, slim fit, eco-friendly"
"essential casual hoodies & jackets hoodies & jackets multi-color silk hipster, patterned, festival, dark skin, stripes, summer, cottagecore","preppy relaxed cardigans cardigans multi-color denim petite friendly, formal, checked, spring, cold weather, luxury, patterned, stripes","oversized bold oversize tee oversize tee maroon leather curvy friendly, business casual, monochrome, winter, hot weather, dark skin, autumn, comfy"
"comfy slim fit shorts shorts black modal petite friendly, beach wear, urban, festival, fair skin","preppy comfy shorts shorts polka dot wool spring, athleisure, casual, old money, formal, patterned, minimalist","statement rustic hoodies & jackets hoodies & jackets grey polyester cold weather, oversized, neutral skin, floral, fair skin, comfy, hipster, party wear"
"classic elegant oversize tee oversize tee chocolate jacquard festival, beach wear, medium skin, curvy friendly, layering, streetwear, sporty, petite friendly","urban textured shorts shorts chocolate polyester old money, formal, summer, tall friendly, sporty, casual, business casual, cold weather","comfy wide leg beach wear beach wear red bamboo skinny friendly, urban, y2k, patterned, tall friendly, stripes, medium skin, party wear"
"layered rustic chinos chinos crimson jacquard monochrome, skinny friendly, comfy, stripes, autumn, old money, streetwear, cottagecore","urban refined chinos chinos mint modal eco-friendly, streetwear, medium skin, oversized, preppy, polka dot, party wear, hipster","slim fit slim fit track pants track pants camouflage wool edgy, minimalist, luxury, streetwear, neutral skin"
"textured bold tanks tanks orange fleece petite friendly, patterned, dark skin, festival, beach wear, rainy weather, slim fit, cottagecore","tailored elegant chinos chinos orange bamboo edgy, streetwear, layering, oversized, rainy weather, urban, polka dot","camo modern beach wear beach wear brown jacquard casual, slim fit, hipster, cottagecore, autumn"
"camo structured t-shirts t-shirts white velvet minimalist, fair skin, casual, stripes, petite friendly, formal, old money, winter","patterned heritage polos polos white bamboo slim fit, stripes, rainy weather, tall friendly, winter, cottagecore, minimalist","structured oversized cardigans cardigans orange modal edgy, neutral skin, urban, winter, y2k, fair skin"
"sporty neutral hoodies & jackets hoodies & jackets camouflage rayon formal, stripes, curvy friendly, monochrome, medium skin, urban","preppy functional hoodies & jackets hoodies & jackets pastel pink silk curvy friendly, fair skin, comfy, party wear, luxury, slim fit, floral, medium skin","tailored sporty utility pants utility pants mustard denim comfy, patterned, polka dot, vintage, casual, travel friendly, autumn, business casual"
"minimalist refined oversize tee oversize tee tan denim eco-friendly, slim fit, floral, rainy weather, neutral skin, hot weather, dark skin","tailored smart t-shirts t-shirts tan velvet winter, curvy friendly, dark skin, festival, floral, cold weather","casual minimalist polos polos green cotton dark skin, preppy, athleisure, beach wear, layering, comfy, stripes"
"camo slim fit denim jackets denim jackets blush modal sporty, streetwear, dark skin, preppy, slim fit","minimalist minimalist tanks tanks blush velvet skinny friendly, slim fit, urban, summer, office wear, vintage","statement modern tanks tanks green leather y2k, formal, dark skin, oversized, sporty, neutral skin, vintage"
"slim fit minimalist utility pants utility pants peach jacquard layering, dark skin, floral, tall friendly, hot weather, slim fit","bold camo oversize tee oversize tee peach jacquard curvy friendly, eco-friendly, dark skin, stripes, medium skin, business casual, patterned, beach wear","rustic chic cardigans cardigans olive velvet layering, edgy, hot weather, dark skin, office wear"
"layered bright blazers blazers tan silk layering, floral, streetwear, checked, y2k, preppy","modern bold blazers blazers pastel pink bamboo office wear, skinny friendly, spring, comfy, old money","smart relaxed tanks tanks tan jacquard rainy weather, travel friendly, polka dot, minimalist, stripes"
mustard shorts wool,"textured structured shorts shorts grey rayon edgy, streetwear, urban, beach wear, fair skin, eco-friendly, summer","dynamic bold tanks tanks grey fleece hot weather, festival, formal, travel friendly, monochrome, old money"
"bold modern sweatshirts sweatshirts coral cotton medium skin, eco-friendly, skinny friendly, vintage, sporty, party wear, athleisure, y2k","slim fit bright sweatshirts sweatshirts olive rayon dark skin, urban, stripes, tall friendly, floral, office wear, eco-friendly, preppy","minimalist structured track pants track pants yellow silk rainy weather, vintage, monochrome, cottagecore, dark skin"
"heritage rustic utility pants utility pants pastel green cotton oversized, checked, streetwear, tall friendly, party wear","patterned dynamic polos polos pastel green bamboo travel friendly, fair skin, cottagecore, urban, festival, preppy","soft elegant oversize tee oversize tee camouflage rayon comfy, winter, floral, travel friendly, petite friendly, y2k"
"layered statement chinos chinos white jacquard medium skin, business casual, curvy friendly, patterned, polka dot","classic statement chinos chinos red velvet oversized, luxury, spring, streetwear, tall friendly, medium skin","soft refined beach wear beach wear sky blue silk cottagecore, eco-friendly, casual, edgy, hipster, office wear, vintage"
"dynamic slim fit polos polos white silk monochrome, polka dot, checked, layering, formal, casual, minimalist, old money","comfy essential denim jackets denim jackets white bamboo oversized, office wear, petite friendly, eco-friendly, dark skin, cottagecore, formal","elegant sporty polos polos pink polyester patterned, medium skin, curvy friendly, sporty, preppy, urban"
multi-color polos wool,"casual structured polos polos green denim neutral skin, oversized, curvy friendly, monochrome, old money, urban, preppy","luxury elegant track pants track pants navy polyester checked, luxury, hot weather, dark skin, skinny friendly, curvy friendly, minimalist, sporty"
"essential comfy kimono kimono mustard polyester autumn, winter, oversized, office wear, neutral skin, y2k, party wear, cottagecore","bold statement kimono kimono blue silk neutral skin, cold weather, minimalist, party wear, dark skin","urban layered shorts shorts blue fleece curvy friendly, formal, rainy weather, monochrome, office wear, preppy"
"relaxed textured track pants track pants sky blue jacquard stripes, hot weather, patterned, monochrome, dark skin","wide leg layered oversize tee oversize tee sky blue fleece party wear, athleisure, rainy weather, checked, cottagecore, hipster, old money, stripes","bold structured sweatshirts sweatshirts checked bamboo minimalist, festival, fair skin, party wear, tall friendly, winter, cold weather"
"structured casual denim jackets denim jackets teal velvet preppy, curvy friendly, comfy, festival, y2k, slim fit, petite friendly","statement patterned t-shirts t-shirts teal polyester fair skin, streetwear, slim fit, patterned, edgy, checked, rainy weather","essential urban shorts shorts navy cotton urban, stripes, petite friendly, edgy, sporty, business casual, polka dot"
multi-color track pants fleece,"luxury textured track pants track pants blush modal rainy weather, edgy, tall friendly, floral, vintage","lightweight edgy chinos chinos beige fleece edgy, dark skin, streetwear, comfy, urban, travel friendly, business casual, checked"
"rustic rustic chinos chinos crimson denim patterned, winter, hot weather, old money, autumn","structured soft denim jackets denim jackets crimson rayon winter, eco-friendly, monochrome, beach wear, y2k","luxury camo kimono kimono charcoal rayon checked, formal, neutral skin, old money, preppy"
"essential modern track pants track pants plaid modal summer, hot weather, tall friendly, office wear, streetwear, petite friendly, slim fit","layered classic t-shirts t-shirts plaid denim checked, monochrome, hot weather, oversized, office wear","vintage comfy track pants track pants yellow rayon summer, floral, petite friendly, y2k, streetwear, edgy, sporty"
"essential edgy coats coats striped rayon rainy weather, polka dot, comfy, neutral skin, minimalist, checked, patterned, hipster","sporty smart coats coats olive denim neutral skin, layering, festival, sporty, urban, curvy friendly, beach wear","slim fit textured cardigans cardigans tan modal layering, hot weather, floral, athleisure, cold weather, winter, dark skin"
"bold comfy polos polos red linen edgy, oversized, y2k, old money, layering, business casual, casual","neutral lightweight polos polos chocolate modal cottagecore, preppy, hot weather, spring, patterned, y2k, comfy","vintage camo chinos chinos mustard tencel beach wear, curvy friendly, old money, luxury, streetwear"
"functional classic blazers blazers multi-color rayon hipster, skinny friendly, luxury, urban, y2k, spring","structured sporty blazers blazers plaid modal festival, cottagecore, party wear, polka dot, comfy","rustic classic denim jackets denim jackets nude leather formal, edgy, minimalist, party wear, petite friendly, autumn"
"rustic luxury kimono kimono brown cotton petite friendly, checked, winter, party wear, hipster","neutral refined beach wear beach wear brown modal urban, neutral skin, checked, edgy, comfy","sporty refined polos polos black rayon cottagecore, winter, monochrome, office wear, neutral skin, petite friendly, summer"
"modern tailored t-shirts t-shirts nude leather luxury, oversized, tall friendly, formal, monochrome, spring, skinny friendly","bright neutral t-shirts t-shirts beige cotton hipster, slim fit, floral, petite friendly, summer, curvy friendly, autumn, patterned","modern elegant hoodies & jackets hoodies & jackets striped modal skinny friendly, preppy, urban, spring, oversized, y2k, streetwear"
"wide leg statement beach wear beach wear grey wool y2k, beach wear, medium skin, dark skin, hipster, luxury, autumn","camo comfy polos polos grey linen rainy weather, eco-friendly, party wear, cottagecore, vintage, tall friendly, y2k","retro edgy chinos chinos red denim monochrome, y2k, vintage, stripes, petite friendly"
"elegant sporty sweatshirts sweatshirts coral cotton cold weather, formal, travel friendly, slim fit, hot weather, polka dot, neutral skin, skinny friendly","slim fit sporty cardigans cardigans coral leather layering, slim fit, oversized, business casual, tall friendly, sporty","soft edgy beach wear beach wear mint linen petite friendly, patterned, hipster, business casual, cold weather, monochrome"
"neutral dynamic hoodies & jackets hoodies & jackets red fleece formal, autumn, polka dot, spring, eco-friendly","relaxed bold chinos chinos red cotton oversized, cottagecore, monochrome, beach wear, autumn","structured neutral coats coats grey wool athleisure, beach wear, festival, minimalist, formal, neutral skin, urban"
tie-dye t-shirts bamboo,"chic luxury t-shirts t-shirts yellow wool streetwear, sporty, neutral skin, minimalist, travel friendly, hot weather, party wear, monochrome","rustic relaxed shorts shorts checked leather tall friendly, minimalist, skinny friendly, dark skin, oversized"
"refined bold track pants track pants yellow bamboo edgy, rainy weather, tall friendly, festival, stripes, eco-friendly, spring, minimalist","luxury heritage track pants track pants blush denim winter, beach wear, casual, tall friendly, preppy, curvy friendly, urban, skinny friendly","casual retro beach wear beach wear orange fleece preppy, minimalist, travel friendly, athleisure, fair skin, cottagecore, old money, urban"
"essential essential denim jackets denim jackets peach tencel autumn, patterned, cold weather, casual, festival, floral","smart essential blazers blazers peach cotton tall friendly, streetwear, cottagecore, sporty, comfy, oversized, eco-friendly, festival","lightweight minimalist blazers blazers chocolate leather hot weather, layering, checked, beach wear, vintage, summer, urban"
"retro slim fit polos polos yellow corduroy athleisure, streetwear, hot weather, neutral skin, oversized, casual, business casual, old money","functional comfy polos polos crimson rayon oversized, floral, y2k, office wear, beach wear, medium skin, petite friendly","retro layered utility pants utility pants black cotton rainy weather, vintage, office wear, layering, sporty, party wear, monochrome"
"sporty lightweight beach wear beach wear camouflage corduroy business casual, curvy friendly, summer, neutral skin, hipster, casual, layering","minimalist relaxed joggers & pants joggers & pants camouflage wool floral, spring, y2k, neutral skin, stripes, urban, cottagecore, formal","neutral refined beach wear beach wear brown modal urban, neutral skin, checked, edgy, comfy"
off-white oversize tee bamboo,"wide leg comfy oversize tee oversize tee olive tencel neutral skin, curvy friendly, formal, autumn, office wear","elegant refined sweatshirts sweatshirts olive corduroy beach wear, athleisure, tall friendly, luxury, sporty"
"relaxed edgy shorts shorts tie-dye tencel office wear, skinny friendly, winter, athleisure, spring, old money, beach wear","functional bold hoodies & jackets hoodies & jackets tie-dye modal patterned, medium skin, autumn, beach wear, travel friendly, dark skin, hot weather, layering","bright textured shorts shorts red polyester tall friendly, medium skin, festival, checked, athleisure"
"sporty edgy track pants track pants brown velvet dark skin, old money, autumn, party wear, winter","chic luxury beach wear beach wear brown polyester skinny friendly, tall friendly, checked, business casual, petite friendly, rainy weather, cold weather","statement essential denim jackets denim jackets olive modal casual, tall friendly, slim fit, monochrome, edgy, stripes, spring"
"layered essential coats coats plaid leather cold weather, hipster, comfy, beach wear, minimalist, summer, eco-friendly, festival","textured edgy track pants track pants plaid cotton checked, winter, rainy weather, floral, business casual, petite friendly, party wear","tailored refined coats coats crimson bamboo monochrome, urban, streetwear, layering, comfy, edgy"
"structured oversized oversize tee oversize tee polka dot silk hipster, party wear, travel friendly, edgy, cold weather, rainy weather, athleisure, autumn","textured structured t-shirts t-shirts polka dot cotton festival, slim fit, curvy friendly, urban, hipster, vintage, monochrome, autumn","comfy modern kimono kimono pastel blue corduroy patterned, minimalist, cold weather, cottagecore, neutral skin, medium skin, beach wear"
"soft vintage joggers & pants joggers & pants white rayon sporty, autumn, layering, patterned, rainy weather","minimalist soft joggers & pants joggers & pants chocolate rayon spring, old money, checked, floral, hot weather, cottagecore","urban dynamic blazers blazers maroon velvet beach wear, business casual, formal, polka dot, vintage"
"statement smart kimono kimono pastel green linen cottagecore, vintage, skinny friendly, dark skin, streetwear, fair skin, stripes, patterned","rustic refined cardigans cardigans pastel green cotton beach wear, stripes, cold weather, business casual, formal, hot weather, patterned","chic layered shorts shorts sky blue linen winter, rainy weather, festival, petite friendly, urban"
charcoal cardigans corduroy,"patterned chic cardigans cardigans black bamboo autumn, patterned, checked, dark skin, skinny friendly, cottagecore, minimalist","statement essential polos polos nude corduroy preppy, festival, hot weather, spring, patterned, petite friendly, minimalist, slim fit"
"patterned essential tanks tanks tie-dye jacquard business casual, fair skin, medium skin, monochrome, casual","wide leg smart chinos chinos tie-dye leather oversized, urban, petite friendly, preppy, monochrome, festival","bright slim fit joggers & pants joggers & pants navy silk slim fit, party wear, comfy, rainy weather, polka dot, oversized, checked"
"rustic oversized tanks tanks coral linen skinny friendly, travel friendly, edgy, cold weather, neutral skin","dynamic statement hoodies & jackets hoodies & jackets coral wool stripes, comfy, athleisure, neutral skin, festival, autumn, petite friendly, minimalist","minimalist trendy beach wear beach wear pastel green tencel formal, slim fit, old money, business casual, autumn, stripes, checked, floral"
"luxury rustic coats coats checked polyester floral, formal, comfy, checked, petite friendly, dark skin, cold weather, medium skin","patterned minimalist tanks tanks checked bamboo edgy, urban, checked, preppy, cold weather, eco-friendly, floral, winter","slim fit retro beach wear beach wear multi-color denim medium skin, vintage, hot weather, checked, minimalist, neutral skin, monochrome"
"bold essential beach wear beach wear brown fleece party wear, fair skin, minimalist, beach wear, autumn, curvy friendly, winter","bold essential beach wear beach wear brown modal oversized, hipster, tall friendly, medium skin, sporty, dark skin, slim fit, autumn","retro casual kimono kimono tie-dye fleece checked, petite friendly, hipster, rainy weather, cold weather"
beige oversize tee wool,"wide leg comfy oversize tee oversize tee olive tencel neutral skin, curvy friendly, formal, autumn, office wear","structured statement utility pants utility pants tan wool hot weather, monochrome, spring, oversized, festival, comfy, minimalist, party wear"
nude joggers & pants silk,"lightweight heritage joggers & pants joggers & pants orange fleece office wear, petite friendly, hot weather, minimalist, party wear, polka dot, summer","layered vintage chinos chinos brown denim spring, skinny friendly, winter, hipster, fair skin, monochrome, slim fit, cottagecore"
blush coats leather,"tailored soft coats coats chocolate leather party wear, checked, dark skin, fair skin, monochrome","essential modern track pants track pants plaid modal summer, hot weather, tall friendly, office wear, streetwear, petite friendly, slim fit"
off-white denim jackets tencel,"vintage vintage denim jackets denim jackets pastel blue fleece comfy, patterned, stripes, rainy weather, medium skin, summer","vintage bold tanks tanks maroon polyester streetwear, vintage, floral, slim fit, luxury, dark skin"
"bold tailored tanks tanks teal silk casual, floral, autumn, travel friendly, y2k, oversized","elegant modern polos polos teal fleece y2k, checked, neutral skin, urban, stripes, business casual, beach wear","luxury lightweight hoodies & jackets hoodies & jackets brown corduroy travel friendly, petite friendly, cold weather, polka dot, checked, office wear, edgy"
crimson tanks wool,"smart urban tanks tanks grey modal hot weather, winter, streetwear, vintage, floral","rustic chic coats coats maroon bamboo casual, old money, tall friendly, minimalist, hot weather"
"soft comfy t-shirts t-shirts blush wool luxury, hipster, sporty, skinny friendly, floral, streetwear, urban","essential heritage t-shirts t-shirts tie-dye cotton rainy weather, curvy friendly, comfy, autumn, sporty, skinny friendly, vintage, eco-friendly","statement essential denim jackets denim jackets yellow modal luxury, stripes, office wear, checked, vintage"
pastel blue joggers & pants denim,"lightweight heritage joggers & pants joggers & pants orange fleece office wear, petite friendly, hot weather, minimalist, party wear, polka dot, summer","statement retro sweatshirts sweatshirts mustard modal sporty, cottagecore, spring, tall friendly, cold weather, neutral skin, travel friendly, fair skin"
"sporty sporty kimono kimono orange cotton streetwear, neutral skin, business casual, athleisure, fair skin, minimalist","patterned soft polos polos orange velvet slim fit, rainy weather, neutral skin, oversized, business casual","sporty structured track pants track pants off-white denim monochrome, business casual, cold weather, spring, formal"
orange t-shirts tencel,"chic luxury t-shirts t-shirts yellow wool streetwear, sporty, neutral skin, minimalist, travel friendly, hot weather, party wear, monochrome","structured sporty kimono kimono blush jacquard dark skin, festival, slim fit, medium skin, formal, summer, neutral skin, curvy friendly"
"oversized minimalist hoodies & jackets hoodies & jackets tie-dye linen oversized, neutral skin, polka dot, autumn, hot weather","minimalist patterned coats coats tie-dye jacquard old money, edgy, oversized, eco-friendly, vintage, slim fit, formal, patterned","tailored functional sweatshirts sweatshirts white fleece eco-friendly, sporty, tall friendly, layering, cottagecore, medium skin, checked"
"chic structured utility pants utility pants teal rayon floral, autumn, hot weather, travel friendly, polka dot, streetwear","slim fit minimalist utility pants utility pants peach jacquard layering, dark skin, floral, tall friendly, hot weather, slim fit","functional statement polos polos maroon silk polka dot, layering, cottagecore, old money, hot weather, beach wear, tall friendly, cold weather"
"neutral textured tanks tanks grey silk neutral skin, travel friendly, party wear, monochrome, curvy friendly, petite friendly, office wear","rustic oversized kimono kimono grey polyester travel friendly, casual, hot weather, monochrome, stripes, spring","refined essential hoodies & jackets hoodies & jackets blue linen layering, stripes, festival, beach wear, y2k, office wear, sporty, floral"
beige polos denim,"casual structured polos polos green denim neutral skin, oversized, curvy friendly, monochrome, old money, urban, preppy","essential structured shorts shorts brown rayon winter, medium skin, curvy friendly, travel friendly, eco-friendly, hot weather, office wear, hipster"
"dynamic luxury tanks tanks mustard bamboo casual, floral, medium skin, minimalist, hot weather, polka dot, sporty, stripes","edgy rustic denim jackets denim jackets mustard velvet cold weather, preppy, petite friendly, party wear, hipster","minimalist vintage oversize tee oversize tee grey velvet rainy weather, sporty, monochrome, old money, beach wear, cottagecore, checked"
"relaxed patterned cardigans cardigans tie-dye leather cottagecore, checked, layering, office wear, eco-friendly, casual, preppy","lightweight patterned cardigans cardigans tan denim travel friendly, neutral skin, medium skin, hipster, urban","wide leg preppy tanks tanks mint rayon checked, monochrome, preppy, neutral skin, hot weather, layering, urban, petite friendly"
