preference_id,user_id,preferred_categories,preferred_colors,preferred_fabrics,preferred_brands,preferred_styles,skin_tone,body_type,price_sensitivity,updated_ts
40.0,40.0,"UTILITY PANTS, POLOS, TANKS","Black, Charcoal, Teal","Corduroy, Fleece",Brand_6,"Vintage, Hipster, Luxury",Medium Skin,Petite Friendly,Low,2025-11-19 14:56:19.274287
41.0,41.0,"SWEATSHIRTS, COATS, CHINOS","Pastel Blue, Red, Nude","Polyester, Denim",Brand_15,"Y2K, Casual, Beach Wear",Neutral Skin,Skinny Friendly,Low,2025-11-19 14:56:19.274409
42.0,42.0,"BEACH WEAR, T-SHIRTS, CARDIGANS","Pastel Blue, Sky Blue, Peach","Cotton, Modal",,"Y2K, Hipster, Cottagecore",Medium Skin,Petite Friendly,Medium,2025-11-19 14:56:19.274540
43.0,43.0,"JOGGERS & PANTS, TRACK PANTS, BEACH WEAR","Yellow, Grey, Green","Linen, Velvet",Brand_13,"Luxury, Minimalist, Office Wear",Neutral Skin,Tall Friendly,High,2025-11-19 14:56:19.274665
44.0,44.0,"T-SHIRTS, KIMONO, SWEATSHIRTS","Polka Dot, Orange, Pastel Blue","Modal, Leather",Brand_5,"Preppy, Streetwear, Minimalist",Medium Skin,Tall Friendly,High,2025-11-19 14:56:19.274790
45.0,45.0,"POLOS, BLAZERS, JOGGERS & PANTS","Black, Striped, Red","Leather, Tencel",Brand_4,"Formal, Streetwear, Beach Wear",Dark Skin,Petite Friendly,Low,2025-11-19 14:56:19.274912
46.0,46.0,"BEACH WEAR, BLAZERS, COATS","Plaid, White, Pastel Pink","Modal, Leather",Brand_18,"Casual, Y2K, Beach Wear",Fair Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.275035
47.0,47.0,"CHINOS, OVERSIZE TEE, SWEATSHIRTS","White, Peach, Multi-color","Corduroy, Bamboo",Brand_13,"Office Wear, Luxury, Hipster",Neutral Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.275191
48.0,48.0,"SHORTS, DENIM JACKETS, POLOS",,"Tencel, Linen",Brand_9,,Dark Skin,Curvy Friendly,,2025-11-19 14:56:19.275376
49.0,49.0,"BEACH WEAR, KIMONO, DENIM JACKETS","Blush, Pastel Blue, Tan","Denim, Velvet",Brand_14,"Casual, Streetwear, Preppy",Medium Skin,Curvy Friendly,High,2025-11-19 14:56:19.275681
50.0,50.0,"CARDIGANS, OVERSIZE TEE, COATS","Charcoal, Olive, Plaid","Corduroy, Tencel",Brand_2,"Hipster, Formal, Cottagecore",Fair Skin,Skinny Friendly,Low,2025-11-19 14:56:19.275904
51.0,51.0,"COATS, OVERSIZE TEE, CARDIGANS","Pink, Olive, Nude","Jacquard, Velvet",Brand_10,"Minimalist, Streetwear, Luxury",Medium Skin,Tall Friendly,High,2025-11-19 14:56:19.276106
52.0,52.0,,"Tie-dye, Sky Blue, Olive","Bamboo, Corduroy",Brand_17,"Luxury, Preppy, Athleisure",Medium Skin,Petite Friendly,High,2025-11-19 14:56:19.276340
53.0,53.0,"TANKS, T-SHIRTS, SHORTS","Blush, Chocolate, Beige","Leather, Rayon",Brand_11,,,,Low,2025-11-19 14:56:19.276546
54.0,54.0,"SHORTS, UTILITY PANTS, BEACH WEAR","Maroon, Yellow, Blush","Leather, Fleece",Brand_13,"Y2K, Beach Wear, Athleisure",Neutral Skin,Petite Friendly,Low,2025-11-19 14:56:19.276769
55.0,55.0,"SWEATSHIRTS, COATS, SHORTS","Green, Navy, Mustard","Rayon, Wool",Brand_17,"Eco-friendly, Minimalist, Athleisure",Neutral Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.276989
56.0,56.0,"CARDIGANS, TANKS, KIMONO",,"Corduroy, Fleece",Brand_4,"Streetwear, Minimalist, Cottagecore",Dark Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.277218
57.0,57.0,"COATS, BLAZERS, SHORTS","Orange, Maroon, Crimson","Velvet, Modal",Brand_14,"Luxury, Vintage, Cottagecore",Medium Skin,Curvy Friendly,High,2025-11-19 14:56:19.277431
58.0,58.0,"TRACK PANTS, OVERSIZE TEE, UTILITY PANTS","Pastel Pink, Brown, Striped","Jacquard, Bamboo",Brand_19,"Party Wear, Preppy, Athleisure",Dark Skin,Petite Friendly,High,2025-11-19 14:56:19.277653
59.0,59.0,"DENIM JACKETS, T-SHIRTS, BLAZERS","Nude, Grey, Pastel Green","Cotton, Jacquard",Brand_1,"Eco-friendly, Casual, Beach Wear",Neutral Skin,Petite Friendly,High,2025-11-19 14:56:19.277882
60.0,60.0,"DENIM JACKETS, POLOS, TANKS","Striped, Blush, Mustard","Leather, Modal",Brand_17,"Formal, Streetwear, Vintage",Medium Skin,Petite Friendly,Medium,
61.0,61.0,"POLOS, SHORTS, CHINOS","Pastel Green, Blue, Grey","Leather, Fleece",,"Minimalist, Luxury, Formal",Fair Skin,Curvy Friendly,Low,2025-11-19 14:56:19.278338
62.0,62.0,"DENIM JACKETS, T-SHIRTS, BEACH WEAR","White, Pastel Pink, Checked","Tencel, Silk",Brand_5,"Party Wear, Casual, Hipster",Medium Skin,Tall Friendly,Low,2025-11-19 14:56:19.278544
63.0,63.0,"SHORTS, JOGGERS & PANTS, CHINOS","Mustard, Blue, Striped","Wool, Polyester",Brand_15,"Vintage, Office Wear, Preppy",Dark Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.278756
64.0,64.0,"BEACH WEAR, UTILITY PANTS, SHORTS","Pastel Pink, Navy, Camouflage","Linen, Cotton",Brand_4,"Vintage, Athleisure, Office Wear",Neutral Skin,Petite Friendly,High,2025-11-19 14:56:19.278953
65.0,65.0,"HOODIES & JACKETS, OVERSIZE TEE, BLAZERS","Pastel Pink, Peach, Grey","Corduroy, Rayon",Brand_10,"Minimalist, Casual, Luxury",Medium Skin,Petite Friendly,Low,2025-11-19 14:56:19.279183
66.0,66.0,"UTILITY PANTS, POLOS, KIMONO","Coral, Olive, Off-white","Rayon, Linen",Brand_13,"Luxury, Cottagecore, Streetwear",Neutral Skin,Tall Friendly,Medium,2025-11-19 14:56:19.279388
67.0,67.0,"POLOS, JOGGERS & PANTS, DENIM JACKETS","Checked, Navy, Multi-color","Corduroy, Tencel",Brand_1,"Luxury, Vintage, Streetwear",Dark Skin,Petite Friendly,High,2025-11-19 14:56:19.279588
68.0,68.0,"COATS, KIMONO, BEACH WEAR","Green, Peach, Coral","Silk, Tencel",Brand_18,"Beach Wear, Luxury, Cottagecore",Fair Skin,Tall Friendly,Medium,2025-11-19 14:56:19.279806
69.0,69.0,"BLAZERS, BEACH WEAR, TANKS","Mustard, Crimson, Yellow","Modal, Jacquard",Brand_12,"Athleisure, Hipster, Office Wear",Dark Skin,Petite Friendly,Medium,2025-11-19 14:56:19.279977
70.0,70.0,"JOGGERS & PANTS, T-SHIRTS, SWEATSHIRTS","Checked, Yellow, Coral","Linen, Polyester",Brand_14,"Casual, Cottagecore, Eco-friendly",Medium Skin,Petite Friendly,Medium,
71.0,,"HOODIES & JACKETS, OVERSIZE TEE, JOGGERS & PANTS","Beige, Tan, Plaid","Wool, Modal",Brand_13,"Cottagecore, Party Wear, Hipster",Neutral Skin,Petite Friendly,High,2025-11-19 14:56:19.280279
72.0,,"KIMONO, OVERSIZE TEE, SWEATSHIRTS","Off-white, Brown, Blush","Bamboo, Velvet",Brand_5,"Hipster, Beach Wear, Formal",Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.280452
73.0,,"OVERSIZE TEE, DENIM JACKETS, SHORTS","White, Striped, Mustard","Bamboo, Corduroy",Brand_9,"Office Wear, Preppy, Athleisure",Fair Skin,Petite Friendly,Medium,2025-11-19 14:56:19.280586
74.0,74.0,"TRACK PANTS, SWEATSHIRTS, BEACH WEAR","Navy, Brown, Tan","Polyester, Bamboo",Brand_14,"Athleisure, Party Wear, Streetwear",,Petite Friendly,High,2025-11-19 14:56:19.280724
75.0,75.0,"CHINOS, SHORTS, BLAZERS","Nude, Pastel Pink, Beige","Jacquard, Bamboo",Brand_17,"Vintage, Eco-friendly, Beach Wear",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.280852
76.0,76.0,"UTILITY PANTS, SHORTS, POLOS","Camouflage, Charcoal, White","Jacquard, Fleece",Brand_2,"Casual, Luxury, Party Wear",Medium Skin,Tall Friendly,High,2025-11-19 14:56:19.280978
77.0,77.0,"TRACK PANTS, T-SHIRTS, POLOS","Pastel Pink, Chocolate, Tie-dye","Tencel, Polyester",Brand_11,"Cottagecore, Athleisure, Party Wear",Dark Skin,Skinny Friendly,High,2025-11-19 14:56:19.281097
78.0,78.0,"HOODIES & JACKETS, BLAZERS, SHORTS","Striped, Teal, Olive","Corduroy, Jacquard",Brand_13,"Vintage, Hipster, Streetwear",Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.281267
79.0,79.0,"TANKS, CARDIGANS, BLAZERS","Green, Yellow, White","Silk, Corduroy",Brand_1,"Beach Wear, Casual, Eco-friendly",Dark Skin,Petite Friendly,Medium,2025-11-19 14:56:19.281391
80.0,80.0,"OVERSIZE TEE, T-SHIRTS, TANKS","Pastel Green, Pastel Blue, Black","Velvet, Polyester",Brand_16,"Vintage, Hipster, Cottagecore",Fair Skin,Skinny Friendly,Low,2025-11-19 14:56:19.281515
81.0,81.0,"SWEATSHIRTS, POLOS, JOGGERS & PANTS","Multi-color, Navy, Tie-dye","Wool, Polyester",Brand_3,"Athleisure, Cottagecore, Formal",Medium Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.281638
82.0,82.0,"CARDIGANS, TRACK PANTS, TANKS","Peach, Off-white, Striped","Wool, Jacquard",Brand_7,"Athleisure, Casual, Hipster",Dark Skin,,High,2025-11-19 14:56:19.281773
83.0,83.0,"SHORTS, TRACK PANTS, TANKS","Nude, White, Black","Velvet, Denim",Brand_18,"Preppy, Y2K, Eco-friendly",Neutral Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.281893
84.0,84.0,"SHORTS, BLAZERS, SWEATSHIRTS","Polka Dot, Tie-dye, Teal","Polyester, Cotton",Brand_10,"Beach Wear, Preppy, Casual",Dark Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.282013
85.0,85.0,"SHORTS, COATS, T-SHIRTS","Tan, Teal, Charcoal","Denim, Bamboo",Brand_3,"Athleisure, Streetwear, Party Wear",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.282171
86.0,86.0,"BLAZERS, SHORTS, DENIM JACKETS","Beige, Grey, Maroon","Denim, Bamboo",Brand_10,"Beach Wear, Preppy, Hipster",Fair Skin,Curvy Friendly,Low,2025-11-19 14:56:19.282301
87.0,87.0,"JOGGERS & PANTS, UTILITY PANTS, SHORTS","Brown, Checked, Green","Fleece, Silk",,"Preppy, Party Wear, Cottagecore",Medium Skin,Skinny Friendly,Low,2025-11-19 14:56:19.282425
88.0,88.0,"OVERSIZE TEE, COATS, T-SHIRTS","Crimson, Tan, Charcoal","Tencel, Rayon",Brand_9,"Hipster, Luxury, Minimalist",Neutral Skin,Skinny Friendly,High,2025-11-19 14:56:19.282547
89.0,89.0,"T-SHIRTS, BLAZERS, SHORTS","Orange, Navy, Charcoal","Tencel, Denim",Brand_10,"Streetwear, Hipster, Minimalist",Neutral Skin,Petite Friendly,Medium,2025-11-19 14:56:19.282674
,90.0,"UTILITY PANTS, POLOS, COATS","Brown, Black, Pastel Blue","Leather, Wool",Brand_2,"Luxury, Hipster, Athleisure",Fair Skin,Tall Friendly,Low,2025-11-19 14:56:19.282797
91.0,91.0,"T-SHIRTS, POLOS, TANKS","Yellow, Chocolate, Brown","Denim, Linen",Brand_11,"Cottagecore, Vintage, Preppy",Medium Skin,Tall Friendly,High,2025-11-19 14:56:19.282916
,92.0,"KIMONO, CHINOS, JOGGERS & PANTS","Plaid, Charcoal, Olive","Bamboo, Polyester",Brand_8,"Casual, Eco-friendly, Minimalist",Medium Skin,Tall Friendly,Low,2025-11-19 14:56:19.283037
93.0,93.0,"CARDIGANS, HOODIES & JACKETS, TANKS","Polka Dot, Pastel Pink, Red","Corduroy, Polyester",Brand_11,"Hipster, Streetwear, Party Wear",,Petite Friendly,High,2025-11-19 14:56:19.283200
94.0,94.0,"SHORTS, KIMONO, SWEATSHIRTS","Tie-dye, Orange, Maroon","Fleece, Cotton",Brand_7,"Athleisure, Cottagecore, Formal",Medium Skin,Curvy Friendly,High,2025-11-19 14:56:19.283332
95.0,95.0,"SWEATSHIRTS, CHINOS, BEACH WEAR","Pink, Peach, Camouflage","Linen, Modal",,"Casual, Hipster, Vintage",Medium Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.283456
96.0,96.0,"JOGGERS & PANTS, TRACK PANTS, BLAZERS","Polka Dot, Camouflage, Green","Wool, Corduroy",,"Eco-friendly, Beach Wear, Party Wear",Neutral Skin,Petite Friendly,High,2025-11-19 14:56:19.283588
97.0,97.0,"CARDIGANS, SHORTS, SWEATSHIRTS","Pastel Green, Mustard, Brown","Jacquard, Bamboo",Brand_19,"Formal, Hipster, Preppy",Fair Skin,Skinny Friendly,High,2025-11-19 14:56:19.283717
98.0,98.0,"CARDIGANS, DENIM JACKETS, BLAZERS","Maroon, Blush, Polka Dot","Corduroy, Rayon",Brand_9,"Streetwear, Casual, Luxury",Medium Skin,Petite Friendly,Medium,2025-11-19 14:56:19.283839
99.0,99.0,"OVERSIZE TEE, POLOS, CARDIGANS","Beige, Pastel Blue, Camouflage","Denim, Cotton",Brand_7,"Beach Wear, Y2K, Hipster",Neutral Skin,Curvy Friendly,Low,2025-11-19 14:56:19.283969
100.0,100.0,"SWEATSHIRTS, BEACH WEAR, TANKS",,"Bamboo, Cotton",Brand_3,"Office Wear, Eco-friendly, Luxury",Medium Skin,,High,2025-11-19 14:56:19.284091
101.0,101.0,"KIMONO, JOGGERS & PANTS, POLOS","Pastel Pink, Red, Crimson","Wool, Corduroy",Brand_3,"Streetwear, Athleisure, Office Wear",Dark Skin,Tall Friendly,Medium,2025-11-19 14:56:19.284257
102.0,102.0,"BLAZERS, BEACH WEAR, DENIM JACKETS","Off-white, Black, Navy","Linen, Cotton",Brand_6,"Cottagecore, Vintage, Preppy",Neutral Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.284391
103.0,103.0,"BEACH WEAR, DENIM JACKETS, CARDIGANS","Plaid, Pastel Green, Grey","Fleece, Velvet",Brand_6,"Streetwear, Minimalist, Beach Wear",Fair Skin,Tall Friendly,Medium,2025-11-19 14:56:19.284539
104.0,104.0,"TRACK PANTS, BLAZERS, JOGGERS & PANTS","Green, Nude, Plaid","Polyester, Fleece",Brand_11,"Cottagecore, Office Wear, Y2K",Fair Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.284682
105.0,105.0,"TRACK PANTS, CARDIGANS, HOODIES & JACKETS","Polka Dot, Sky Blue, Brown","Linen, Leather",Brand_6,"Vintage, Cottagecore, Y2K",Medium Skin,Tall Friendly,High,2025-11-19 14:56:19.284823
106.0,106.0,"SWEATSHIRTS, T-SHIRTS, BLAZERS","Brown, Maroon, Teal","Rayon, Cotton",Brand_16,"Office Wear, Preppy, Vintage",Dark Skin,Tall Friendly,High,2025-11-19 14:56:19.284944
107.0,107.0,"BEACH WEAR, CHINOS, BLAZERS","Tie-dye, Mint, White","Bamboo, Silk",,"Eco-friendly, Beach Wear, Office Wear",Medium Skin,,,2025-11-19 14:56:19.285075
108.0,108.0,"OVERSIZE TEE, CHINOS, T-SHIRTS","Pink, Polka Dot, Mustard","Fleece, Denim",Brand_13,"Office Wear, Athleisure, Y2K",Fair Skin,Curvy Friendly,Low,2025-11-19 14:56:19.285246
109.0,109.0,"CARDIGANS, BEACH WEAR, POLOS","Olive, Striped, Charcoal","Cotton, Velvet",Brand_13,"Casual, Streetwear, Hipster",Neutral Skin,Skinny Friendly,Low,2025-11-19 14:56:19.285382
110.0,110.0,"POLOS, BLAZERS, CARDIGANS","Tie-dye, Crimson, Blue","Corduroy, Silk",Brand_14,"Vintage, Minimalist, Preppy",Fair Skin,Skinny Friendly,Low,2025-11-19 14:56:19.285512
111.0,111.0,,"White, Green, Striped","Rayon, Velvet",Brand_1,"Beach Wear, Luxury, Y2K",Neutral Skin,Skinny Friendly,High,2025-11-19 14:56:19.285633
112.0,112.0,"CARDIGANS, TRACK PANTS, DENIM JACKETS","Off-white, Checked, Tan","Jacquard, Bamboo",Brand_13,"Beach Wear, Hipster, Party Wear",Fair Skin,Skinny Friendly,Low,2025-11-19 14:56:19.285828
113.0,113.0,"TRACK PANTS, COATS, HOODIES & JACKETS","Maroon, Camouflage, White","Bamboo, Velvet",Brand_5,"Vintage, Preppy, Athleisure",Medium Skin,Curvy Friendly,High,2025-11-19 14:56:19.285952
114.0,114.0,"HOODIES & JACKETS, POLOS, JOGGERS & PANTS","Plaid, Pastel Pink, Sky Blue","Jacquard, Corduroy",Brand_4,"Y2K, Eco-friendly, Hipster",Medium Skin,Petite Friendly,Medium,2025-11-19 14:56:19.286072
115.0,115.0,"SHORTS, POLOS, OVERSIZE TEE","Mint, Pink, Chocolate","Cotton, Rayon",Brand_8,"Beach Wear, Party Wear, Vintage",Neutral Skin,Curvy Friendly,High,2025-11-19 14:56:19.286238
116.0,,,"Pastel Pink, Mint, Mustard","Leather, Rayon",Brand_11,"Formal, Vintage, Hipster",,Petite Friendly,Medium,2025-11-19 14:56:19.286362
117.0,117.0,"OVERSIZE TEE, UTILITY PANTS, JOGGERS & PANTS","Blush, Sky Blue, Red","Leather, Fleece",Brand_16,"Party Wear, Athleisure, Beach Wear",Fair Skin,Petite Friendly,High,2025-11-19 14:56:19.286484
118.0,118.0,"DENIM JACKETS, JOGGERS & PANTS, SWEATSHIRTS","White, Black, Brown","Tencel, Wool",Brand_8,"Vintage, Casual, Cottagecore",Medium Skin,Petite Friendly,High,2025-11-19 14:56:19.286605
119.0,119.0,"KIMONO, TRACK PANTS, UTILITY PANTS","Green, Coral, Orange","Leather, Tencel",Brand_18,"Party Wear, Formal, Minimalist",Fair Skin,Tall Friendly,High,2025-11-19 14:56:19.287031
120.0,120.0,"SWEATSHIRTS, TANKS, KIMONO","Off-white, Navy, Peach","Denim, Bamboo",Brand_4,"Formal, Party Wear, Beach Wear",Fair Skin,Curvy Friendly,High,2025-11-19 14:56:19.287212
121.0,121.0,"TRACK PANTS, BEACH WEAR, KIMONO","Pastel Blue, Nude, Chocolate","Cotton, Corduroy",Brand_10,"Party Wear, Formal, Athleisure",Dark Skin,Petite Friendly,High,2025-11-19 14:56:19.287361
122.0,122.0,"UTILITY PANTS, HOODIES & JACKETS, T-SHIRTS","Nude, Mustard, Camouflage","Polyester, Velvet",,"Formal, Cottagecore, Hipster",Medium Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.287513
