preference_id,user_id,preferred_categories,preferred_colors,preferred_fabrics,preferred_brands,preferred_styles,skin_tone,body_type,price_sensitivity,updated_ts,_ingestion_ts,_source_file,_ingestion_date
11.0,11.0,"CARDIGANS, TANKS, TRACK PANTS","Sky Blue, Green, Grey","Tencel, Linen",Brand_19,"Office Wear, Formal, Beach Wear",Medium Skin,Curvy Friendly,Low,2025-11-19 14:56:19.270554,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
12.0,12.0,"JOGGERS & PANTS, CHINOS, BLAZERS","Pastel Blue, Off-white, Navy","Denim, Corduroy",Brand_19,"Office Wear, Preppy, Cottagecore",Medium Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.270680,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
13.0,13.0,"CHINOS, DENIM JACKETS, KIMONO","Nude, Striped, Mustard","Fleece, Rayon",Brand_2,"Y2K, Eco-friendly, Cottagecore",Dark Skin,Petite Friendly,Medium,2025-11-19 14:56:19.270801,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
14.0,14.0,"COATS, OVERSIZE TEE, DENIM JACKETS","Orange, Blue, Olive","Corduroy, Rayon",Brand_18,"Streetwear, Party Wear, Preppy",Neutral Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.270922,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
15.0,,"POLOS, T-SHIRTS, BLAZERS","Multi-color, Navy, Olive","Tencel, Leather",Brand_11,"Cottagecore, Eco-friendly, Minimalist",Fair Skin,Tall Friendly,High,2025-11-19 14:56:19.271041,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
16.0,16.0,"TRACK PANTS, BEACH WEAR, TANKS",,"Linen, Cotton",Brand_5,"Eco-friendly, Y2K, Cottagecore",Neutral Skin,Skinny Friendly,High,2025-11-19 14:56:19.271193,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
17.0,17.0,"POLOS, UTILITY PANTS, HOODIES & JACKETS","Tie-dye, Peach, Crimson","Silk, Polyester",Brand_12,"Office Wear, Hipster, Beach Wear",Dark Skin,Petite Friendly,High,2025-11-19 14:56:19.271316,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
18.0,18.0,"HOODIES & JACKETS, TRACK PANTS, POLOS","White, Mustard, Pastel Blue","Wool, Rayon",Brand_13,"Preppy, Cottagecore, Streetwear",Medium Skin,Curvy Friendly,High,2025-11-19 14:56:19.271446,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
19.0,19.0,"CARDIGANS, TRACK PANTS, KIMONO","Maroon, White, Navy","Fleece, Wool",Brand_15,"Hipster, Office Wear, Beach Wear",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.271568,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
20.0,20.0,"T-SHIRTS, COATS, BLAZERS","Striped, Grey, Pink","Silk, Leather",Brand_2,"Athleisure, Y2K, Formal",Neutral Skin,Skinny Friendly,High,2025-11-19 14:56:19.271693,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
21.0,21.0,"TRACK PANTS, POLOS, COATS","Beige, Blue, Striped","Bamboo, Cotton",Brand_8,"Cottagecore, Casual, Beach Wear",Dark Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.271825,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
22.0,22.0,"UTILITY PANTS, TRACK PANTS, TANKS","Black, Navy, Crimson","Corduroy, Cotton",Brand_1,"Luxury, Y2K, Beach Wear",Neutral Skin,Curvy Friendly,High,2025-11-19 14:56:19.271949,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
23.0,23.0,"CHINOS, DENIM JACKETS, BLAZERS","Pastel Green, Chocolate, White","Wool, Silk",Brand_6,"Casual, Vintage, Formal",Fair Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.272070,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
24.0,24.0,"SHORTS, HOODIES & JACKETS, DENIM JACKETS","Mint, Chocolate, Tie-dye","Denim, Polyester",Brand_14,"Minimalist, Athleisure, Preppy",Neutral Skin,Petite Friendly,Medium,2025-11-19 14:56:19.272211,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
25.0,25.0,"BLAZERS, TANKS, HOODIES & JACKETS","Navy, Plaid, Mustard","Linen, Bamboo",Brand_8,,Dark Skin,Curvy Friendly,Low,2025-11-19 14:56:19.272333,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
26.0,26.0,"HOODIES & JACKETS, POLOS, SHORTS","Camouflage, Plaid, Tie-dye","Wool, Leather",Brand_3,"Vintage, Casual, Minimalist",Neutral Skin,Curvy Friendly,High,2025-11-19 14:56:19.272467,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
27.0,,"KIMONO, BEACH WEAR, DENIM JACKETS","Checked, Green, Multi-color","Linen, Corduroy",Brand_13,"Vintage, Streetwear, Office Wear",Neutral Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.272590,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
28.0,28.0,"OVERSIZE TEE, SHORTS, HOODIES & JACKETS","Mint, Red, Camouflage","Velvet, Wool",Brand_5,"Vintage, Preppy, Formal",Neutral Skin,Curvy Friendly,Low,2025-11-19 14:56:19.272711,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
29.0,29.0,"OVERSIZE TEE, T-SHIRTS, KIMONO","Red, White, Plaid","Leather, Wool",Brand_9,"Party Wear, Beach Wear, Preppy",Medium Skin,Skinny Friendly,High,2025-11-19 14:56:19.272835,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
30.0,30.0,"POLOS, COATS, KIMONO","Blush, Striped, Tie-dye","Leather, Cotton",Brand_5,"Party Wear, Hipster, Beach Wear",Medium Skin,Petite Friendly,Low,2025-11-19 14:56:19.272954,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
31.0,31.0,"OVERSIZE TEE, HOODIES & JACKETS, JOGGERS & PANTS","Beige, Striped, Green","Fleece, Denim",Brand_2,"Streetwear, Eco-friendly, Minimalist",Neutral Skin,Petite Friendly,Medium,2025-11-19 14:56:19.273077,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
32.0,32.0,"KIMONO, CHINOS, COATS","Chocolate, Beige, Pastel Green","Polyester, Linen",Brand_2,"Luxury, Eco-friendly, Hipster",Dark Skin,Petite Friendly,Low,2025-11-19 14:56:19.273252,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
33.0,33.0,"DENIM JACKETS, CHINOS, BEACH WEAR","Peach, Multi-color, Checked","Polyester, Velvet",Brand_7,"Preppy, Streetwear, Office Wear",Fair Skin,Petite Friendly,Low,2025-11-19 14:56:19.273381,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
34.0,34.0,"TRACK PANTS, T-SHIRTS, TANKS","Multi-color, Camouflage, Tie-dye","Fleece, Corduroy",Brand_13,"Casual, Y2K, Streetwear",Dark Skin,Petite Friendly,High,2025-11-19 14:56:19.273513,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
35.0,35.0,"POLOS, TANKS, TRACK PANTS","Crimson, Blush, White","Wool, Linen",Brand_19,"Minimalist, Beach Wear, Athleisure",Dark Skin,Petite Friendly,Low,2025-11-19 14:56:19.273634,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
36.0,36.0,"T-SHIRTS, UTILITY PANTS, POLOS","Blush, Plaid, Beige","Cotton, Bamboo",Brand_15,"Casual, Cottagecore, Vintage",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.273760,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
37.0,37.0,"COATS, TRACK PANTS, KIMONO","Nude, Pastel Green, Chocolate","Corduroy, Silk",Brand_17,"Y2K, Streetwear, Preppy",Neutral Skin,Curvy Friendly,High,2025-11-19 14:56:19.273881,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
38.0,38.0,"TANKS, UTILITY PANTS, TRACK PANTS","Brown, Red, Blue","Modal, Linen",Brand_18,"Minimalist, Cottagecore, Luxury",Dark Skin,Petite Friendly,,2025-11-19 14:56:19.274000,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
39.0,39.0,"TANKS, T-SHIRTS, CARDIGANS","Olive, Red, Beige","Polyester, Leather",Brand_9,"Athleisure, Streetwear, Beach Wear",Dark Skin,Petite Friendly,Medium,2025-11-19 14:56:19.274146,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
40.0,40.0,"UTILITY PANTS, POLOS, TANKS","Black, Charcoal, Teal","Corduroy, Fleece",Brand_6,"Vintage, Hipster, Luxury",Medium Skin,Petite Friendly,Low,2025-11-19 14:56:19.274287,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
41.0,41.0,"SWEATSHIRTS, COATS, CHINOS","Pastel Blue, Red, Nude","Polyester, Denim",Brand_15,"Y2K, Casual, Beach Wear",Neutral Skin,Skinny Friendly,Low,2025-11-19 14:56:19.274409,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
42.0,42.0,"BEACH WEAR, T-SHIRTS, CARDIGANS","Pastel Blue, Sky Blue, Peach","Cotton, Modal",,"Y2K, Hipster, Cottagecore",Medium Skin,Petite Friendly,Medium,2025-11-19 14:56:19.274540,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
43.0,43.0,"JOGGERS & PANTS, TRACK PANTS, BEACH WEAR","Yellow, Grey, Green","Linen, Velvet",Brand_13,"Luxury, Minimalist, Office Wear",Neutral Skin,Tall Friendly,High,2025-11-19 14:56:19.274665,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
44.0,44.0,"T-SHIRTS, KIMONO, SWEATSHIRTS","Polka Dot, Orange, Pastel Blue","Modal, Leather",Brand_5,"Preppy, Streetwear, Minimalist",Medium Skin,Tall Friendly,High,2025-11-19 14:56:19.274790,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
45.0,45.0,"POLOS, BLAZERS, JOGGERS & PANTS","Black, Striped, Red","Leather, Tencel",Brand_4,"Formal, Streetwear, Beach Wear",Dark Skin,Petite Friendly,Low,2025-11-19 14:56:19.274912,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
46.0,46.0,"BEACH WEAR, BLAZERS, COATS","Plaid, White, Pastel Pink","Modal, Leather",Brand_18,"Casual, Y2K, Beach Wear",Fair Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.275035,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
47.0,47.0,"CHINOS, OVERSIZE TEE, SWEATSHIRTS","White, Peach, Multi-color","Corduroy, Bamboo",Brand_13,"Office Wear, Luxury, Hipster",Neutral Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.275191,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
48.0,48.0,"SHORTS, DENIM JACKETS, POLOS",,"Tencel, Linen",Brand_9,,Dark Skin,Curvy Friendly,,2025-11-19 14:56:19.275376,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
49.0,49.0,"BEACH WEAR, KIMONO, DENIM JACKETS","Blush, Pastel Blue, Tan","Denim, Velvet",Brand_14,"Casual, Streetwear, Preppy",Medium Skin,Curvy Friendly,High,2025-11-19 14:56:19.275681,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
50.0,50.0,"CARDIGANS, OVERSIZE TEE, COATS","Charcoal, Olive, Plaid","Corduroy, Tencel",Brand_2,"Hipster, Formal, Cottagecore",Fair Skin,Skinny Friendly,Low,2025-11-19 14:56:19.275904,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
51.0,51.0,"COATS, OVERSIZE TEE, CARDIGANS","Pink, Olive, Nude","Jacquard, Velvet",Brand_10,"Minimalist, Streetwear, Luxury",Medium Skin,Tall Friendly,High,2025-11-19 14:56:19.276106,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
52.0,52.0,,"Tie-dye, Sky Blue, Olive","Bamboo, Corduroy",Brand_17,"Luxury, Preppy, Athleisure",Medium Skin,Petite Friendly,High,2025-11-19 14:56:19.276340,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
53.0,53.0,"TANKS, T-SHIRTS, SHORTS","Blush, Chocolate, Beige","Leather, Rayon",Brand_11,,,,Low,2025-11-19 14:56:19.276546,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
54.0,54.0,"SHORTS, UTILITY PANTS, BEACH WEAR","Maroon, Yellow, Blush","Leather, Fleece",Brand_13,"Y2K, Beach Wear, Athleisure",Neutral Skin,Petite Friendly,Low,2025-11-19 14:56:19.276769,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
55.0,55.0,"SWEATSHIRTS, COATS, SHORTS","Green, Navy, Mustard","Rayon, Wool",Brand_17,"Eco-friendly, Minimalist, Athleisure",Neutral Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.276989,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
56.0,56.0,"CARDIGANS, TANKS, KIMONO",,"Corduroy, Fleece",Brand_4,"Streetwear, Minimalist, Cottagecore",Dark Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.277218,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
57.0,57.0,"COATS, BLAZERS, SHORTS","Orange, Maroon, Crimson","Velvet, Modal",Brand_14,"Luxury, Vintage, Cottagecore",Medium Skin,Curvy Friendly,High,2025-11-19 14:56:19.277431,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
58.0,58.0,"TRACK PANTS, OVERSIZE TEE, UTILITY PANTS","Pastel Pink, Brown, Striped","Jacquard, Bamboo",Brand_19,"Party Wear, Preppy, Athleisure",Dark Skin,Petite Friendly,High,2025-11-19 14:56:19.277653,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
59.0,59.0,"DENIM JACKETS, T-SHIRTS, BLAZERS","Nude, Grey, Pastel Green","Cotton, Jacquard",Brand_1,"Eco-friendly, Casual, Beach Wear",Neutral Skin,Petite Friendly,High,2025-11-19 14:56:19.277882,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
60.0,60.0,"DENIM JACKETS, POLOS, TANKS","Striped, Blush, Mustard","Leather, Modal",Brand_17,"Formal, Streetwear, Vintage",Medium Skin,Petite Friendly,Medium,,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
61.0,61.0,"POLOS, SHORTS, CHINOS","Pastel Green, Blue, Grey","Leather, Fleece",,"Minimalist, Luxury, Formal",Fair Skin,Curvy Friendly,Low,2025-11-19 14:56:19.278338,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
62.0,62.0,"DENIM JACKETS, T-SHIRTS, BEACH WEAR","White, Pastel Pink, Checked","Tencel, Silk",Brand_5,"Party Wear, Casual, Hipster",Medium Skin,Tall Friendly,Low,2025-11-19 14:56:19.278544,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
63.0,63.0,"SHORTS, JOGGERS & PANTS, CHINOS","Mustard, Blue, Striped","Wool, Polyester",Brand_15,"Vintage, Office Wear, Preppy",Dark Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.278756,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
64.0,64.0,"BEACH WEAR, UTILITY PANTS, SHORTS","Pastel Pink, Navy, Camouflage","Linen, Cotton",Brand_4,"Vintage, Athleisure, Office Wear",Neutral Skin,Petite Friendly,High,2025-11-19 14:56:19.278953,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
65.0,65.0,"HOODIES & JACKETS, OVERSIZE TEE, BLAZERS","Pastel Pink, Peach, Grey","Corduroy, Rayon",Brand_10,"Minimalist, Casual, Luxury",Medium Skin,Petite Friendly,Low,2025-11-19 14:56:19.279183,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
66.0,66.0,"UTILITY PANTS, POLOS, KIMONO","Coral, Olive, Off-white","Rayon, Linen",Brand_13,"Luxury, Cottagecore, Streetwear",Neutral Skin,Tall Friendly,Medium,2025-11-19 14:56:19.279388,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
67.0,67.0,"POLOS, JOGGERS & PANTS, DENIM JACKETS","Checked, Navy, Multi-color","Corduroy, Tencel",Brand_1,"Luxury, Vintage, Streetwear",Dark Skin,Petite Friendly,High,2025-11-19 14:56:19.279588,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
68.0,68.0,"COATS, KIMONO, BEACH WEAR","Green, Peach, Coral","Silk, Tencel",Brand_18,"Beach Wear, Luxury, Cottagecore",Fair Skin,Tall Friendly,Medium,2025-11-19 14:56:19.279806,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
69.0,69.0,"BLAZERS, BEACH WEAR, TANKS","Mustard, Crimson, Yellow","Modal, Jacquard",Brand_12,"Athleisure, Hipster, Office Wear",Dark Skin,Petite Friendly,Medium,2025-11-19 14:56:19.279977,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
70.0,70.0,"JOGGERS & PANTS, T-SHIRTS, SWEATSHIRTS","Checked, Yellow, Coral","Linen, Polyester",Brand_14,"Casual, Cottagecore, Eco-friendly",Medium Skin,Petite Friendly,Medium,,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
71.0,,"HOODIES & JACKETS, OVERSIZE TEE, JOGGERS & PANTS","Beige, Tan, Plaid","Wool, Modal",Brand_13,"Cottagecore, Party Wear, Hipster",Neutral Skin,Petite Friendly,High,2025-11-19 14:56:19.280279,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
72.0,,"KIMONO, OVERSIZE TEE, SWEATSHIRTS","Off-white, Brown, Blush","Bamboo, Velvet",Brand_5,"Hipster, Beach Wear, Formal",Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.280452,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
73.0,,"OVERSIZE TEE, DENIM JACKETS, SHORTS","White, Striped, Mustard","Bamboo, Corduroy",Brand_9,"Office Wear, Preppy, Athleisure",Fair Skin,Petite Friendly,Medium,2025-11-19 14:56:19.280586,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
74.0,74.0,"TRACK PANTS, SWEATSHIRTS, BEACH WEAR","Navy, Brown, Tan","Polyester, Bamboo",Brand_14,"Athleisure, Party Wear, Streetwear",,Petite Friendly,High,2025-11-19 14:56:19.280724,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
75.0,75.0,"CHINOS, SHORTS, BLAZERS","Nude, Pastel Pink, Beige","Jacquard, Bamboo",Brand_17,"Vintage, Eco-friendly, Beach Wear",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.280852,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
76.0,76.0,"UTILITY PANTS, SHORTS, POLOS","Camouflage, Charcoal, White","Jacquard, Fleece",Brand_2,"Casual, Luxury, Party Wear",Medium Skin,Tall Friendly,High,2025-11-19 14:56:19.280978,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
77.0,77.0,"TRACK PANTS, T-SHIRTS, POLOS","Pastel Pink, Chocolate, Tie-dye","Tencel, Polyester",Brand_11,"Cottagecore, Athleisure, Party Wear",Dark Skin,Skinny Friendly,High,2025-11-19 14:56:19.281097,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
78.0,78.0,"HOODIES & JACKETS, BLAZERS, SHORTS","Striped, Teal, Olive","Corduroy, Jacquard",Brand_13,"Vintage, Hipster, Streetwear",Dark Skin,Curvy Friendly,High,2025-11-19 14:56:19.281267,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
79.0,79.0,"TANKS, CARDIGANS, BLAZERS","Green, Yellow, White","Silk, Corduroy",Brand_1,"Beach Wear, Casual, Eco-friendly",Dark Skin,Petite Friendly,Medium,2025-11-19 14:56:19.281391,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
80.0,80.0,"OVERSIZE TEE, T-SHIRTS, TANKS","Pastel Green, Pastel Blue, Black","Velvet, Polyester",Brand_16,"Vintage, Hipster, Cottagecore",Fair Skin,Skinny Friendly,Low,2025-11-19 14:56:19.281515,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
81.0,81.0,"SWEATSHIRTS, POLOS, JOGGERS & PANTS","Multi-color, Navy, Tie-dye","Wool, Polyester",Brand_3,"Athleisure, Cottagecore, Formal",Medium Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.281638,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
82.0,82.0,"CARDIGANS, TRACK PANTS, TANKS","Peach, Off-white, Striped","Wool, Jacquard",Brand_7,"Athleisure, Casual, Hipster",Dark Skin,,High,2025-11-19 14:56:19.281773,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
83.0,83.0,"SHORTS, TRACK PANTS, TANKS","Nude, White, Black","Velvet, Denim",Brand_18,"Preppy, Y2K, Eco-friendly",Neutral Skin,Curvy Friendly,Medium,2025-11-19 14:56:19.281893,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
84.0,84.0,"SHORTS, BLAZERS, SWEATSHIRTS","Polka Dot, Tie-dye, Teal","Polyester, Cotton",Brand_10,"Beach Wear, Preppy, Casual",Dark Skin,Skinny Friendly,Medium,2025-11-19 14:56:19.282013,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
85.0,85.0,"SHORTS, COATS, T-SHIRTS","Tan, Teal, Charcoal","Denim, Bamboo",Brand_3,"Athleisure, Streetwear, Party Wear",Medium Skin,Tall Friendly,Medium,2025-11-19 14:56:19.282171,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
86.0,86.0,"BLAZERS, SHORTS, DENIM JACKETS","Beige, Grey, Maroon","Denim, Bamboo",Brand_10,"Beach Wear, Preppy, Hipster",Fair Skin,Curvy Friendly,Low,2025-11-19 14:56:19.282301,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
87.0,87.0,"JOGGERS & PANTS, UTILITY PANTS, SHORTS","Brown, Checked, Green","Fleece, Silk",,"Preppy, Party Wear, Cottagecore",Medium Skin,Skinny Friendly,Low,2025-11-19 14:56:19.282425,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
88.0,88.0,"OVERSIZE TEE, COATS, T-SHIRTS","Crimson, Tan, Charcoal","Tencel, Rayon",Brand_9,"Hipster, Luxury, Minimalist",Neutral Skin,Skinny Friendly,High,2025-11-19 14:56:19.282547,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
89.0,89.0,"T-SHIRTS, BLAZERS, SHORTS","Orange, Navy, Charcoal","Tencel, Denim",Brand_10,"Streetwear, Hipster, Minimalist",Neutral Skin,Petite Friendly,Medium,2025-11-19 14:56:19.282674,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
,90.0,"UTILITY PANTS, POLOS, COATS","Brown, Black, Pastel Blue","Leather, Wool",Brand_2,"Luxury, Hipster, Athleisure",Fair Skin,Tall Friendly,Low,2025-11-19 14:56:19.282797,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
91.0,91.0,"T-SHIRTS, POLOS, TANKS","Yellow, Chocolate, Brown","Denim, Linen",Brand_11,"Cottagecore, Vintage, Preppy",Medium Skin,Tall Friendly,High,2025-11-19 14:56:19.282916,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
,92.0,"KIMONO, CHINOS, JOGGERS & PANTS","Plaid, Charcoal, Olive","Bamboo, Polyester",Brand_8,"Casual, Eco-friendly, Minimalist",Medium Skin,Tall Friendly,Low,2025-11-19 14:56:19.283037,2026-02-28 19:12:01.346351,user_preferences_dataset.csv,2026-02-28
